module_name,name,version,author,license,category,installable,application,auto_install,depends_count,has_enterprise_deps,enterprise_deps,python_file_count,xml_file_count,has_models,has_views,has_controllers,status,classification_type,recommendation,reason
ipai_close_orchestration,IPAI Close Cycle Orchestration,18.0.1.0.0,InsightPulse AI,LGPL-3,Accounting/Close,True,True,False,2,False,,7,8,True,True,False,OK,core_business,KEEP,Core business logic for finance/tax compliance
ipai_finance_close_automation,IPAI Finance Close Automation,18.0.1.0.0,InsightPulse AI,LGPL-3,Accounting/Project,True,False,False,3,False,,4,2,True,True,False,OK,core_business,KEEP,Core business logic for finance/tax compliance
ipai_project_program,IPAI Project Program (Program + IM Projects),18.0.1.0.0,InsightPulse AI,LGPL-3,Project,True,False,False,2,False,,10,5,True,True,False,OK,integration,KEEP,AI/Integration functionality
ipai_bir_compliance,IPAI Tax Shield (Philippines),18.0.1.0.0,InsightPulse AI,AGPL-3,Accounting/Localizations,True,False,False,1,False,,3,2,True,False,False,OK,core_business,KEEP,Core business logic for finance/tax compliance
ipai_agent_core,IPAI Agent Core,18.0.1.0.0,InsightPulse AI,LGPL-3,Productivity/AI,True,True,False,2,False,,7,7,True,True,False,OK,integration,KEEP,AI/Integration functionality
ipai_finance_project_hybrid,IPAI Finance Project Hybrid (IM1/IM2 + BIR + Month-End Generators),18.0.1.0.0,InsightPulse AI,LGPL-3,Project,True,False,False,2,False,,12,10,True,True,False,OK,core_business,KEEP,Core business logic for finance/tax compliance
ipai_studio_ai,IPAI Studio AI,18.0.1.1.0,InsightPulse AI,AGPL-3,Customization/Studio,True,True,False,2,False,,5,6,True,True,True,OK,integration,KEEP,AI/Integration functionality
ipai_finance_bir_compliance,IPAI Finance BIR Compliance (Schedule + Generator),18.0.1.0.0,InsightPulse AI,LGPL-3,Accounting/Project,True,False,False,3,False,,7,4,True,True,False,OK,core_business,KEEP,Core business logic for finance/tax compliance
ipai_ppm,IPAI Portfolio & Program Management,18.0.1.0.0,InsightPulse AI,LGPL-3,Project Management,True,True,False,3,False,,6,8,True,True,False,OK,core_business,KEEP,Core business logic for finance/tax compliance
ipai_workspace_core,InsightPulse Workspace Core,18.0.1.0.0,InsightPulse AI,AGPL-3,InsightPulse/Core,True,False,False,1,False,,2,2,True,True,False,OK,integration,KEEP,AI/Integration functionality
ipai_ai_studio,IPAI AI Studio (CE) - AI-driven Module Builder,18.0.1.0.0,InsightPulse AI,LGPL-3,Productivity,True,True,False,2,False,,6,3,True,True,False,OK,integration,KEEP,AI/Integration functionality
ipai_ce_cleaner,IPAI CE Cleaner (No Enterprise/IAP),18.0.1.0.0,InsightPulse AI,AGPL-3,Tools,True,False,False,2,False,,1,2,False,True,False,OK,branding,DEMOTE,Branding/UI customization - should be application=False
ipai_finance_ppm,IPAI Finance PPM,18.0.1.0.0,InsightPulse AI,AGPL-3,Accounting/Finance,True,True,False,3,False,,23,18,True,True,True,OK,core_business,KEEP,Core business logic for finance/tax compliance
ipai_finance_ppm_dashboard,IPAI Finance PPM Dashboard,18.0.1.0.0,InsightPulse AI,AGPL-3,Accounting/Reporting,True,False,False,2,False,,1,2,False,True,False,OK,core_business,KEEP,Core business logic for finance/tax compliance
ipai_industry_accounting_firm,InsightPulse Industry - Accounting Firm,18.0.1.0.0,InsightPulse AI,LGPL-3,InsightPulse/Vertical,True,False,False,1,False,,2,1,True,True,False,OK,integration,KEEP,AI/Integration functionality
ipai_finance_monthly_closing,IPAI Finance Monthly Closing,18.0.1.0.0,InsightPulse AI,AGPL-3,Accounting/Finance,True,False,False,1,False,,2,2,True,True,False,OK,core_business,KEEP,Core business logic for finance/tax compliance
ipai_assets,IPAI Asset Checkout,18.0.1.1.0,InsightPulse AI,AGPL-3,Operations/Equipment,True,True,False,4,False,,5,7,True,True,False,OK,integration,KEEP,AI/Integration functionality
ipai_project_suite,IPAI Project Suite (CE),18.0.1.0.0,InsightPulse AI,LGPL-3,Project,True,False,False,2,False,,10,7,True,True,False,OK,integration,KEEP,AI/Integration functionality
ipai_finance_close_seed,IPAI Finance Close Seed,18.0.1.0.0,InsightPulse AI,LGPL-3,Accounting/Project,True,False,False,2,False,,1,6,False,False,False,OK,seed,DEMOTE,Data seeding module - should be application=False
ipai_portal_fix,IPAI Portal Fix,18.0.1.0.1,InsightPulse AI,AGPL-3,Technical,True,False,True,1,False,,4,1,True,True,True,OK,patch,DEMOTE,Technical patch - should be application=False
ipai,IPAI Module Namespace,18.0.1.0.0,InsightPulse AI,AGPL-3,Hidden,True,False,False,1,False,,211,184,False,False,False,OK,namespace,KEEP,Namespace/container module
