task_id,task_name,project_id,milestone_id,assignee,reviewer,approver,stage,category,due_date,status,priority,evidence_status,pulser_ready,databricks_surface,genie_surface,is_recurring,recurring_period,automation_candidate,notes
TASK-012,Zero-rated transaction evidence request,PRJ-002,MS-006,JAP,JPAL,,preparation,vat_evidence,2026-04-05,in_progress,critical,not_started,true,gold_finance_bir_deadline_control,Compliance & Tax,false,,low,2 transactions blocked — evidence request to vendor drafted
TASK-013,VAT reconciliation — output vs GL,PRJ-002,MS-007,JAP,JPAL,CKVC,preparation,vat_reconciliation,2026-04-07,not_started,high,not_started,true,gold_finance_bir_deadline_control,Compliance & Tax,true,quarterly,high,Blocked on TASK-012 evidence
TASK-014,VAT reconciliation — input tax credits,PRJ-002,MS-007,JAP,JPAL,CKVC,preparation,vat_reconciliation,2026-04-07,not_started,high,not_started,true,gold_finance_bir_deadline_control,Compliance & Tax,true,quarterly,high,Input tax schedule to be cross-checked
TASK-015,Q1 2550Q return preparation and review,PRJ-002,MS-008,JAP,JPAL,CKVC,review,bir_filing,2026-04-10,not_started,high,not_started,true,gold_finance_bir_deadline_control,Compliance & Tax,false,,low,Dependent on TASK-013 and TASK-014
TASK-016,Q1 2550Q eFPS submission,PRJ-002,MS-010,JAP,,CKVC,approval,bir_filing,2026-04-25,not_started,high,not_started,true,gold_finance_bir_deadline_control,Compliance & Tax,false,,low,CKVC approval required before submission
TASK-017,EWT data extraction and transaction listing,PRJ-003,MS-011,LAS,JPAL,,preparation,ewt_data,2026-04-01,in_progress,high,partial,true,gold_finance_bir_deadline_control,Compliance & Tax,true,monthly,high,3 lines without 2307 certificate links
TASK-018,2307 certificate matching and reconciliation,PRJ-003,MS-011,LAS,JPAL,,preparation,ewt_data,2026-04-03,in_progress,critical,not_started,true,gold_finance_bir_deadline_control,Compliance & Tax,false,,low,Manual match required for 3 outstanding lines
TASK-019,EWT schedule reconciliation to GL,PRJ-003,MS-012,LAS,JPAL,CKVC,preparation,ewt_reconciliation,2026-04-07,not_started,high,not_started,true,gold_finance_bir_deadline_control,Compliance & Tax,true,quarterly,high,Dependent on TASK-018
TASK-020,Q1 1601-EQ return preparation and review,PRJ-003,MS-013,LAS,JPAL,CKVC,review,bir_filing,2026-04-10,not_started,high,not_started,true,gold_finance_bir_deadline_control,Compliance & Tax,false,,low,Dependent on TASK-019
TASK-021,Q1 1601-EQ eFPS submission,PRJ-003,MS-015,LAS,,CKVC,approval,bir_filing,2026-04-25,not_started,high,not_started,true,gold_finance_bir_deadline_control,Compliance & Tax,false,,low,CKVC approval required
TASK-022,FY 2025 taxable income computation,PRJ-004,MS-016,CKVC,,,preparation,income_tax,2026-03-25,in_progress,critical,partial,false,gold_finance_compliance_control_tower,Compliance & Tax,false,,low,Deferred tax and NOLCO computation in progress
TASK-023,Tax adjustment workpaper upload,PRJ-004,MS-017,CKVC,,,preparation,income_tax,2026-04-03,not_started,critical,not_started,true,gold_finance_compliance_control_tower,Compliance & Tax,false,,low,BLOCKED — workpaper overdue by 12 days
TASK-024,Annual 1702 supporting schedules preparation,PRJ-004,MS-018,JLI,CKVC,,preparation,income_tax,2026-04-07,not_started,high,not_started,true,gold_finance_compliance_control_tower,Compliance & Tax,false,,low,JLI to prepare CKVC to review
TASK-025,1702 return preparation and review,PRJ-004,MS-019,CKVC,JPAL,,review,bir_filing,2026-04-10,not_started,critical,not_started,true,gold_finance_compliance_control_tower,Compliance & Tax,false,,low,Critical path — filing deadline 2026-04-15
TASK-026,1702 eFPS submission,PRJ-004,MS-020,CKVC,,CKVC,approval,bir_filing,2026-04-15,not_started,critical,not_started,true,gold_finance_compliance_control_tower,Compliance & Tax,false,,low,Annual filing — no extension expected
TASK-027,Compensation alphalist preparation,PRJ-005,MS-021,JMSM,JPAL,,preparation,alphalist,2026-02-10,completed,high,complete,false,gold_finance_bir_deadline_control,Compliance & Tax,false,,medium,All employee BIR records extracted
TASK-028,Final withholding alphalist preparation,PRJ-005,MS-022,JMSM,JPAL,,preparation,alphalist,2026-02-20,completed,high,complete,false,gold_finance_bir_deadline_control,Compliance & Tax,false,,medium,Vendor final withholding records consolidated
TASK-029,1604-CF return preparation and review,PRJ-005,MS-023,JMSM,JPAL,CKVC,review,bir_filing,2026-02-28,completed,high,complete,false,gold_finance_bir_deadline_control,Compliance & Tax,false,,low,Reviewed and approved
TASK-030,1604-CF eFPS filing and acknowledgement,PRJ-005,MS-024,JMSM,,CKVC,approval,bir_filing,2026-03-10,completed,high,complete,false,gold_finance_bir_deadline_control,Compliance & Tax,false,,low,Filed and acknowledgement archived
TASK-031,Finance directory bronze ingestion,PRJ-006,MS-026,BOM,,,preparation,data_engineering,2026-03-10,completed,medium,complete,false,gold_finance_close_workload,Finance Operations,false,,low,10 team members ingested
TASK-032,Monthly task schedule bronze ingestion,PRJ-006,MS-026,BOM,,,preparation,data_engineering,2026-03-12,completed,medium,complete,false,gold_finance_close_workload,Finance Operations,false,,low,9 categories 3 stages ingested
TASK-033,Silver layer transform — finance_task_schedule fact,PRJ-006,MS-027,BOM,,,preparation,data_engineering,2026-03-28,in_progress,high,partial,false,gold_finance_close_workload,Finance Operations,false,,low,DLT pipeline running
TASK-034,Gold mart build — 5 marts,PRJ-006,MS-028,BOM,,,preparation,data_engineering,2026-04-08,not_started,high,not_started,false,gold_finance_close_workload,Finance Operations,false,,low,All 5 gold marts required before Genie setup
TASK-035,Genie space configuration and NL testing,PRJ-006,MS-029,BOM,,,preparation,data_platform,2026-04-14,not_started,high,not_started,false,gold_finance_close_workload,Finance Operations,false,,low,Finance Operations and Compliance Tax spaces
TASK-036,Close task evidence templates deployment,PRJ-007,MS-031,RMQB,JPAL,,preparation,evidence_management,2026-03-18,completed,medium,complete,false,gold_finance_close_workload,Finance Operations,false,,low,Templates for 8 close categories
TASK-037,Evidence upload — GL reconciliation and accruals,PRJ-007,MS-032,RMQB,JPAL,,preparation,evidence_management,2026-04-03,in_progress,high,partial,true,gold_finance_close_workload,Finance Operations,true,monthly,medium,GL evidence uploaded — accruals pending
TASK-038,Tax exception evidence gap logging,PRJ-007,MS-033,JAP,JPAL,,preparation,evidence_management,2026-04-07,not_started,high,not_started,true,gold_finance_bir_deadline_control,Compliance & Tax,false,,low,VAT and EWT gaps to be logged in evidence registry
TASK-039,Evidence registry completeness review,PRJ-007,MS-034,CKVC,,,review,evidence_management,2026-04-12,not_started,high,not_started,true,gold_finance_close_workload,Finance Operations,false,,low,CKVC sign-off required before filing submission
TASK-040,Audit-ready close pack assembly,PRJ-007,MS-035,RMQB,CKVC,,approval,evidence_management,2026-04-18,not_started,medium,not_started,false,gold_finance_close_workload,Finance Operations,false,,low,Final pack archived and accessible for audit
TASK-041,Pulser finance behavior profile activation,PRJ-008,MS-036,CKVC,,,preparation,pulser_config,2026-04-03,completed,high,complete,true,,Finance Operations,false,,low,Finance profile active in Odoo dev
TASK-042,Demo script 1 — close blocker summary,PRJ-008,MS-037,CKVC,,,preparation,demo_prep,2026-04-08,completed,high,complete,true,,Finance Operations,false,,low,Script tested end-to-end
TASK-043,Demo script 2 — evidence request draft,PRJ-008,MS-037,CKVC,,,preparation,demo_prep,2026-04-10,in_progress,high,partial,true,,Finance Operations,false,,low,Script 2 in testing
TASK-044,Demo script 3 — CKVC task lookup,PRJ-008,MS-037,CKVC,,,preparation,demo_prep,2026-04-12,not_started,high,not_started,true,,Finance Operations,false,,low,Script 3 to be written and tested
TASK-045,Finance Control Tower demo dry run,PRJ-008,MS-038,CKVC,,,review,demo_prep,2026-04-18,not_started,critical,not_started,true,,Finance Operations,false,,low,Full 4-minute storyboard — all 5 modules
