Work Item Type,Title,Parent Title,Tags,Description,Acceptance Criteria
Task,TASK-008.5 - Add idempotency logging and evidence capture,ISSUE-008 - Odoo Projects to Azure Boards sync POC (Odoo authoritative),poc;logging;idempotency;evidence;odoo-wins,"Add execution logging, replay safety, and evidence capture for the sync path.","Repeated runs do not create duplicates; logs are reviewable; evidence artifacts are stored."
Task,TASK-008.6 - Validate POC with one live project,ISSUE-008 - Odoo Projects to Azure Boards sync POC (Odoo authoritative),poc;validation;demo;odoo-wins,"Run the sync on one real or demo Odoo project and verify the Azure Boards representation is accurate enough for demo purposes.","One project syncs successfully; sample conflict case is demonstrated; POC acceptance evidence exists."
Issue,ISSUE-002 - Databricks intelligence path POC,POC-001 - Deliver InsightPulseAI Azure POC,poc;azure;databricks;data-intelligence,"Land Odoo-origin data in the intelligence plane and produce one useful curated output.","Odoo-origin data lands in bronze; at least one curated gold dataset exists; demo shows source to curated output."
Task,TASK-002.1 - Provision or connect Databricks workspace for POC,ISSUE-002 - Databricks intelligence path POC,poc;databricks;workspace,"Establish the Databricks workspace needed for the POC path.","Workspace is available and accessible for the POC."
Task,TASK-002.2 - Define bronze landing path for Odoo extract,ISSUE-002 - Databricks intelligence path POC,poc;databricks;bronze,"Implement initial landing of Odoo-origin data into bronze.","Bronze landing completes with expected source data."
Task,TASK-002.3 - Build one silver normalization flow,ISSUE-002 - Databricks intelligence path POC,poc;databricks;silver,"Normalize one source dataset into a typed and cleaned silver output.","Silver dataset exists and passes basic validation."
Task,TASK-002.4 - Build one gold dataset for demo use case,ISSUE-002 - Databricks intelligence path POC,poc;databricks;gold,"Produce one curated gold dataset that supports the selected POC narrative.","Gold dataset exists and is demo-ready."
Task,TASK-002.5 - Validate freshness and schema for selected dataset,ISSUE-002 - Databricks intelligence path POC,poc;data-quality;schema,"Confirm the selected curated dataset is fresh enough and structurally stable for the demo.","Freshness and schema checks pass."
Issue,ISSUE-003 - Foundry / AI assistive workflow POC,POC-001 - Deliver InsightPulseAI Azure POC,poc;azure;foundry;ai,"Implement one bounded AI-assisted scenario against governed business data.","AI scenario runs successfully; trace/eval evidence exists; no unsafe direct writes to SoR occur."
Task,TASK-003.1 - Define one bounded AI use case,ISSUE-003 - Foundry / AI assistive workflow POC,poc;foundry;design,"Select and define one practical bounded AI scenario for the POC.","Use case is documented and approved for implementation."
Task,TASK-003.2 - Connect approved data and tool surfaces,ISSUE-003 - Foundry / AI assistive workflow POC,poc;foundry;tools,"Wire the selected AI scenario to approved data and tool boundaries.","Scenario can access only approved data and tool surfaces."
Task,TASK-003.3 - Implement prompt and tool flow,ISSUE-003 - Foundry / AI assistive workflow POC,poc;foundry;implementation,"Build the prompt/tool orchestration for the selected AI workflow.","Workflow executes successfully for sample inputs."
Task,TASK-003.4 - Add trace and evaluation capture,ISSUE-003 - Foundry / AI assistive workflow POC,poc;foundry;evals;tracing,"Capture trace and evaluation outputs for the POC workflow.","Trace and evaluation records exist for test runs."
Task,TASK-003.5 - Validate output quality on sample cases,ISSUE-003 - Foundry / AI assistive workflow POC,poc;ai;quality,"Run sample scenarios and verify output quality against expectations.","Outputs meet the defined baseline quality threshold."
Issue,ISSUE-004 - Integration and automation POC,POC-001 - Deliver InsightPulseAI Azure POC,poc;automation;integration;n8n,"Implement one repeatable integration or automation path across platform components.","Workflow runs successfully from trigger to completion; failure mode is observable; output is repeatable."
Task,TASK-004.1 - Select one trigger to action workflow,ISSUE-004 - Integration and automation POC,poc;automation;design,"Pick the single integration path to demonstrate in the POC.","One trigger/action flow is selected and documented."
Task,TASK-004.2 - Implement automation via approved runtime,ISSUE-004 - Integration and automation POC,poc;automation;n8n,"Build the selected workflow using the approved runtime and boundaries.","Workflow executes successfully end to end."
Task,TASK-004.3 - Add retry and error handling,ISSUE-004 - Integration and automation POC,poc;automation;reliability,"Add minimal retry and observable error handling to the workflow.","Failures are surfaced and retries behave as expected."
Task,TASK-004.4 - Capture logs and evidence,ISSUE-004 - Integration and automation POC,poc;evidence;logs,"Collect logs and execution evidence for the automation path.","Logs and evidence are stored and reviewable."
Task,TASK-004.5 - Validate idempotent behavior for POC path,ISSUE-004 - Integration and automation POC,poc;idempotency;validation,"Confirm reruns do not produce unsafe duplicate side effects.","Idempotency behavior is documented and validated."
Issue,ISSUE-005 - Azure runtime and release path POC,POC-001 - Deliver InsightPulseAI Azure POC,poc;azure;pipelines;release-truth,"Make the POC deployable repeatably through the approved release path.","Pipeline deploy succeeds in dev; smoke verification passes; release evidence exists."
Task,TASK-005.1 - Finalize Odoo pipeline path for dev deploy,ISSUE-005 - Azure runtime and release path POC,poc;azure-pipelines;odoo,"Complete the canonical Odoo dev deployment pipeline path.","Dev deployment pipeline runs successfully."
Task,TASK-005.2 - Verify self-hosted agent pool usage,ISSUE-005 - Azure runtime and release path POC,poc;azure-pipelines;agent-pool,"Confirm the intended self-hosted agent pool is used for the pipeline.","Pipeline runs on the expected agent pool."
Task,TASK-005.3 - Wire required secrets and variables,ISSUE-005 - Azure runtime and release path POC,poc;secrets;variables,"Connect the required variable groups and secrets for the POC path.","Pipeline can access required secrets and variables securely."
Task,TASK-005.4 - Run deploy and smoke verification,ISSUE-005 - Azure runtime and release path POC,poc;deploy;smoke-test,"Execute a dev deploy and verify the runtime with smoke checks.","Deployment succeeds and smoke checks pass."
Task,TASK-005.5 - Capture release evidence artifacts,ISSUE-005 - Azure runtime and release path POC,poc;evidence;release,"Store the release evidence needed for review and repeatability.","Evidence artifacts are captured and linked."
Issue,ISSUE-006 - POC evidence pack and demo readiness,POC-001 - Deliver InsightPulseAI Azure POC,poc;evidence;demo;architecture,"Produce the evidence pack and demo narrative needed to explain and defend the POC.","Evidence pack exists in repo/docs; demo script can be executed by one operator; narrative clearly explains value."
Task,TASK-006.1 - Produce POC architecture diagram,ISSUE-006 - POC evidence pack and demo readiness,poc;diagram;architecture,"Create the architecture diagram for the POC scope.","Diagram exists and reflects the POC runtime accurately."
Task,TASK-006.2 - Capture runtime screenshots,ISSUE-006 - POC evidence pack and demo readiness,poc;screenshots;evidence,"Capture screenshots that prove the POC is live and working.","Screenshots are stored and reviewable."
Task,TASK-006.3 - Capture Azure resource inventory,ISSUE-006 - POC evidence pack and demo readiness,poc;azure;inventory,"Collect the Azure resource inventory for the deployed POC.","Resource inventory is captured and current."
Task,TASK-006.4 - Write one-page demo narrative,ISSUE-006 - POC evidence pack and demo readiness,poc;docs;demo,"Write a concise narrative describing the problem, solution, and live POC outcome.","Narrative exists and is clear enough for stakeholders."
Task,TASK-006.5 - Prepare short demo script,ISSUE-006 - POC evidence pack and demo readiness,poc;demo;script,"Create a short operator-ready demo script for the POC.","Demo script is executable by one person without guesswork."
Issue,ISSUE-007 - Startup benefits and M365 follow-up,POC-001 - Deliver InsightPulseAI Azure POC,poc;blocked-external;startup-benefits;m365,"Track startup verification and Microsoft 365 redemption as a separate blocker-removal lane that must not block core POC delivery.","Blockers are documented; no active POC work depends on this issue closing first."
Task,TASK-007.1 - Record current startup verification failure state,ISSUE-007 - Startup benefits and M365 follow-up,blocked-external;startup-benefits,"Document the current startup verification failure state and evidence.","Failure state is recorded with supporting evidence."
Task,TASK-007.2 - Record current M365 redemption blocker state,ISSUE-007 - Startup benefits and M365 follow-up,blocked-external;m365,"Document the current Microsoft 365 redemption blocker and tenant state.","Redemption blocker state is recorded clearly."
Task,TASK-007.3 - Preserve tenant and admin evidence,ISSUE-007 - Startup benefits and M365 follow-up,blocked-external;entra;evidence,"Capture the current tenant, admin, and licensing evidence for later follow-up.","Tenant/admin evidence is preserved and accessible."
Task,TASK-007.4 - Draft support or appeal packet,ISSUE-007 - Startup benefits and M365 follow-up,blocked-external;support,"Prepare the support ticket or appeal packet needed for later re-engagement.","Support packet exists and is ready to send."
Task,TASK-007.5 - Revisit after POC evidence pack is complete,ISSUE-007 - Startup benefits and M365 follow-up,blocked-external;follow-up,"Re-open this lane only after the core POC evidence pack is done.","Follow-up timing is explicitly deferred until POC completion."
