Work Item Type,Title,Parent Title,Tags,Description,Acceptance Criteria
Task,FIN-T1.3a — Create test_finance_system.py contract tests,FIN-I1.3 — Contract Tests and CI Integration,finance-ppm,"Create tests/contracts/test_finance_system.py with 4 contract validators. Ref: T4.1.","Deprecated modules gated; active modules version-aligned; canonical doc exists; spec bundle complete."
Task,FIN-T1.3b — Add finance contract tests to CI workflow,FIN-I1.3 — Contract Tests and CI Integration,finance-ppm,"Add finance system contract tests to .github/workflows/ CI pipeline. Ref: T4.2.","CI workflow includes finance contract test job; green on main."
Issue,FIN-I1.4 — Satellite Module Activation,FIN-E1 — Finance Unified System Module Maturity,finance-ppm;bir-compliance,"Validate and activate ipai_bir_notifications and ipai_bir_plane_sync. Ref: spec/finance-unified/plan.md Phase 5.","Both modules installable:True; mail templates functional; Plane sync end-to-end tested."
Task,FIN-T1.4a — Validate ipai_bir_notifications mail templates and cron,FIN-I1.4 — Satellite Module Activation,finance-ppm;bir-compliance,"Test install, validate mail template rendering, verify cron scheduling for deadline alerts. Ref: T5.1.","Module installs; mail templates render; cron fires on schedule; test email delivered."
Task,FIN-T1.4b — Validate ipai_bir_plane_sync API connectivity,FIN-I1.4 — Satellite Module Activation,finance-ppm;bir-compliance,"Test Plane.so API connectivity, verify bidirectional sync of BIR tasks. Ref: T5.2.","Module installs; Plane API connected; BIR task synced to Plane; Plane update reflected in Odoo."
Task,FIN-T1.4c — Add satellite module tests,FIN-I1.4 — Satellite Module Activation,finance-ppm;bir-compliance,"Write tests for notification delivery and Plane sync operations. Ref: T5.3.","Test files exist; tests pass on disposable DBs."
Issue,FIN-I1.5 — Documentation Consolidation,FIN-E1 — Finance Unified System Module Maturity,finance-ppm,"Verify existing module doc stubs do not contradict unified doc. Cross-reference technical guide. Ref: T2.2-T2.3 and T6.1.","No contradictions between subordinate docs and FINANCE_UNIFIED_SYSTEM.md; cross-references added."
Task,FIN-T1.5a — Audit module doc stubs vs unified doc,FIN-I1.5 — Documentation Consolidation,finance-ppm,"Review 24+ module doc stubs listed in ssot/finance/unified-system.yaml documentation.subordinate. Flag contradictions.","Audit complete; contradictions resolved or documented."
Task,FIN-T1.5b — Reconcile seed canonical map conflict,FIN-I1.5 — Documentation Consolidation,finance-ppm,"Resolve conflict: seed_canonical_map.yaml marks ipai_finance_workflow as canonical but spec constitution marks it deprecated. Align to spec.","seed_canonical_map.yaml updated to reflect ipai_finance_close_seed as canonical per spec Rule 2."
Epic,FIN-E2 — BIR Tax Compliance Operations,,finance-ppm;bir-compliance,"Achieve 100% on-time BIR filing rate (kpi_005). Covers monthly/quarterly/annual filing cycles, Tax Pulse agent, and compliance check automation. Spec: spec/tax-pulse-sub-agent/. Calendar: docs/handbook/compliance/bir/calendar.md.","kpi_005 = 100%; all 36 eBIRForms tracked; Tax Pulse tools operational; 12 compliance checks automated."
Issue,FIN-I2.1 — Monthly BIR Filing Cycle (Recurring Template),FIN-E2 — BIR Tax Compliance Operations,finance-ppm;bir-compliance;recurring,"Template for monthly BIR filing. Clone per period (e.g. 2026-04 BIR Monthly). Forms: 1601-C (10th), 1601-E (10th), 2550M (20th). Workflow: export → reconcile → review → file via eFPS.","All monthly forms filed by regulatory deadline; evidence posted to docs/evidence/."
Task,FIN-T2.1a — Export compensation and withholding data from Odoo,FIN-I2.1 — Monthly BIR Filing Cycle (Recurring Template),bir-compliance;recurring,"Export payroll and withholding tax data for the filing period (days 1-5 of following month).","Data exported; reconciliation-ready."
Task,FIN-T2.1b — Reconcile and prepare BIR forms,FIN-I2.1 — Monthly BIR Filing Cycle (Recurring Template),bir-compliance;recurring,"Reconcile exported data against GL. Prepare 1601-C and 1601-E forms (days 6-7).","Forms prepared; amounts match GL."
Task,FIN-T2.1c — Manager review of BIR forms,FIN-I2.1 — Monthly BIR Filing Cycle (Recurring Template),bir-compliance;recurring,"Senior Finance Manager reviews prepared forms (day 8).","Review approved; sign-off recorded."
Task,FIN-T2.1d — File via eFPS and post evidence,FIN-I2.1 — Monthly BIR Filing Cycle (Recurring Template),bir-compliance;recurring,"Submit forms via eFPS (days 9-10). Capture filing confirmation. Post evidence.","eFPS confirmation received; evidence archived."
Task,FIN-T2.1e — File SSS/PhilHealth/Pag-IBIG contributions,FIN-I2.1 — Monthly BIR Filing Cycle (Recurring Template),bir-compliance;payroll;recurring,"Submit statutory contribution remittances per schedule.","All 3 contributions filed by deadline."
Issue,FIN-I2.2 — Quarterly BIR Filing Cycle (Recurring Template),FIN-E2 — BIR Tax Compliance Operations,finance-ppm;bir-compliance;recurring,"Template for quarterly BIR filing. Clone per quarter. Forms: 2550Q (25th after quarter), 1601-EQ. Ref: calendar.md quarterly section.","Quarterly forms filed by deadline; evidence posted."
Task,FIN-T2.2a — Export and prepare quarterly VAT return (2550Q),FIN-I2.2 — Quarterly BIR Filing Cycle (Recurring Template),bir-compliance;recurring,"Export quarterly VAT data. Prepare 2550Q return with supporting schedules.","2550Q prepared; VAT amounts reconciled."
Task,FIN-T2.2b — Prepare quarterly expanded withholding (1601-EQ),FIN-I2.2 — Quarterly BIR Filing Cycle (Recurring Template),bir-compliance;recurring,"Prepare 1601-EQ from quarterly withholding data.","1601-EQ prepared and reviewed."
Task,FIN-T2.2c — Director review and file quarterly returns,FIN-I2.2 — Quarterly BIR Filing Cycle (Recurring Template),bir-compliance;recurring,"Manager + Director review (week 3). File via eFPS (week 4).","Returns filed; confirmation archived."
Issue,FIN-I2.3 — Annual BIR Filing Cycle,FIN-E2 — BIR Tax Compliance Operations,finance-ppm;bir-compliance;recurring,"Annual BIR filings: 1604-CF (Jan 31), 2316 (Jan 31), 1604-E (Mar 1), 1702 series (Apr 15), Alphalist. Ref: calendar.md annual section.","All annual forms filed by deadline; certificates distributed to employees."
Task,FIN-T2.3a — Generate and file 1604-CF Alphalist (Compensation),FIN-I2.3 — Annual BIR Filing Cycle,bir-compliance;recurring,"Generate 1604-CF from payroll data. File by January 31.","1604-CF filed; BIR confirmation received."
Task,FIN-T2.3b — Distribute 2316 Certificates to employees,FIN-I2.3 — Annual BIR Filing Cycle,bir-compliance;payroll;recurring,"Generate 2316 certificates for all employees. Distribute by January 31.","All employees received 2316; distribution log archived."
Task,FIN-T2.3c — Generate and file 1604-E (EWT Alphalist),FIN-I2.3 — Annual BIR Filing Cycle,bir-compliance;recurring,"Generate 1604-E from expanded withholding data. File by March 1.","1604-E filed; confirmation received."
Task,FIN-T2.3d — Prepare and file 1702 Annual ITR,FIN-I2.3 — Annual BIR Filing Cycle,bir-compliance;recurring,"Prepare 1702 series (RT/EX/MX) annual income tax return. File by April 15.","ITR filed; confirmation received."
Issue,FIN-I2.4 — Tax Pulse Agent Integration,FIN-E2 — BIR Tax Compliance Operations,finance-ppm;bir-compliance,"Implement Tax Pulse sub-agent tools for BIR compliance automation. Spec: spec/tax-pulse-sub-agent/prd.md. Tools: bir_compliance_search, check_overdue_filings, compute/validate/generate tools.","Advisory tools functional; transactional tools approval-gated; eval datasets pass thresholds."
Task,FIN-T2.4a — Implement bir_compliance_search tool (Advisory),FIN-I2.4 — Tax Pulse Agent Integration,bir-compliance,"Implement RAG-grounded compliance search against BIR regulations KB (Azure AI Search). No approval required.","Tool returns grounded answers with citations; groundedness >= 0.8 on eval set."
Task,FIN-T2.4b — Implement check_overdue_filings tool (Ops),FIN-I2.4 — Tax Pulse Agent Integration,bir-compliance,"Query Odoo bir.filing.deadline for overdue records. No approval required.","Tool correctly identifies overdue filings within 1 business day."
Task,FIN-T2.4c — Implement compute and validate tools (Actions),FIN-I2.4 — Tax Pulse Agent Integration,bir-compliance,"Implement compute_bir_vat_return, compute_bir_withholding_return, validate_bir_return. All require approval gate.","Compute matches golden dataset within 0.01 PHP; approval gate blocks unauthorized execution."
Task,FIN-T2.4d — Implement filing artifact generation,FIN-I2.4 — Tax Pulse Agent Integration,bir-compliance,"Implement generate_efps_xml, generate_bir_pdf, generate_alphalist. All require approval gate.","eFPS XML passes BIR schema validation; PDF renders correctly; Alphalist complete."
Issue,FIN-I2.5 — AFC Compliance Check Automation,FIN-E2 — BIR Tax Compliance Operations,finance-ppm;bir-compliance,"Implement 12 compliance checks (CI-001 through CI-012) from compliance_check_catalog.yaml. Spec: spec/tax-pulse-sub-agent/prd.md AFC Parity section.","All 12 checks implemented; scenario scheduling active; hit investigation workflow functional."
Task,FIN-T2.5a — Implement compliance checks CI-001 to CI-006,FIN-I2.5 — AFC Compliance Check Automation,bir-compliance,"CI-001: Missing EWT; CI-002/003: VAT gaps; CI-004: WHT remittance; CI-005: Ungenerated 2307; CI-006: ATC completeness.","6 checks functional; detection results match test fixtures."
Task,FIN-T2.5b — Implement compliance checks CI-007 to CI-012,FIN-I2.5 — AFC Compliance Check Automation,bir-compliance,"CI-007: Deadline countdown; CI-008: Overdue tasks; CI-009: DST; CI-010/011: QAP/SAWT; CI-012: Period completion.","6 checks functional; scheduling and hit processing operational."
Epic,FIN-E3 — Month-End Close Operations,,finance-ppm;month-end-close,"Achieve monthly close cycle < 10 business days (kpi_003). 5-phase close with 39 tasks, team of 9, Kanban workflow. Seed: ipai_finance_close_seed. Checklist: docs/handbook/finance/month-end/checklist.md.","Close cycle consistently < 10 days; automation active; analytics in Superset."
Issue,FIN-I3.1 — Monthly Close Cycle (Recurring Template),FIN-E3 — Month-End Close Operations,finance-ppm;month-end-close;recurring,"Template for monthly close. Clone per period. 5 phases across ~20 business days. 39 tasks assigned to 9 team members. Kanban: To Do → In Prep → Review → Approval → Done.","All 39 tasks completed within target timeline; period locked in Odoo."
Task,FIN-T3.1a — Phase I Pre-Close (days 1-3),FIN-I3.1 — Monthly Close Cycle (Recurring Template),month-end-close;recurring,"Cut-off notices, download bank/credit card statements, verify invoices, reconcile petty cash, match intercompany, verify payroll, check recurring entries.","Pre-close checklist complete; preliminary trial balance generated."
Task,FIN-T3.1b — Phase II Transaction Close (days 3-8),FIN-I3.1 — Monthly Close Cycle (Recurring Template),month-end-close;recurring,"Post accrued expenses, prepaid amortization, depreciation, payroll JE, intercompany settlement. Complete bank reconciliation.","All transaction entries posted; bank reconciliation complete."
Task,FIN-T3.1c — Phase III Reconciliation (days 8-12),FIN-I3.1 — Monthly Close Cycle (Recurring Template),month-end-close;recurring,"AP/AR aging, fixed asset register, inventory valuation. Investigate variances > 10% from prior month.","All accounts reconciled; variances documented."
Task,FIN-T3.1d — Phase IV Reporting (days 12-15),FIN-I3.1 — Monthly Close Cycle (Recurring Template),month-end-close;recurring,"Generate BS/IS/CF. Budget vs actual variance analysis. Management report with KPI dashboard.","Financial statements generated; variance analysis complete; management report submitted."
Task,FIN-T3.1e — Phase V Post-Close (days 15-20),FIN-I3.1 — Monthly Close Cycle (Recurring Template),month-end-close;recurring,"Audit adjustments, period lock, archive documents, next-period setup.","Period locked in Odoo; documents archived; next period initialized."
Issue,FIN-I3.2 — Close Automation,FIN-E3 — Month-End Close Operations,finance-ppm;month-end-close,"Automate recurring close tasks via n8n workflows. Replace Mattermost with Slack integration.","3 n8n automations active; Slack notifications replace Mattermost."
Task,FIN-T3.2a — Bank statement import automation (n8n),FIN-I3.2 — Close Automation,month-end-close,"Deploy bank_statement_import.json n8n workflow. Trigger: daily 6 AM.","Workflow active; statements imported daily."
Task,FIN-T3.2b — Depreciation runner automation (n8n),FIN-I3.2 — Close Automation,month-end-close,"Deploy depreciation_runner.json n8n workflow. Trigger: monthly day 4.","Workflow active; depreciation computed monthly."
Task,FIN-T3.2c — Update checklist Mattermost refs to Slack,FIN-I3.2 — Close Automation,month-end-close,"Update docs/handbook/finance/month-end/checklist.md to reference Slack instead of deprecated Mattermost.","No Mattermost references in checklist; Slack channel referenced."
Issue,FIN-I3.3 — Close Analytics,FIN-E3 — Month-End Close Operations,finance-ppm;month-end-close,"Build Superset BI views for close cycle analytics. 11 SQL views from technical guide.","Superset views deployed; close cycle time dashboard available."
Task,FIN-T3.3a — Create 11 Superset SQL views for finance,FIN-I3.3 — Close Analytics,month-end-close,"Define and deploy SQL views per finance_ppm_technical_guide.md.","11 views created in Superset; data populates correctly."
Task,FIN-T3.3b — Build close cycle time tracking dashboard,FIN-I3.3 — Close Analytics,month-end-close,"Create Superset dashboard tracking close cycle duration trend over months.","Dashboard shows cycle time trend; target line at 10 days."
Epic,FIN-E4 — Finance PPM and Clarity Parity,,finance-ppm;budget;forecast,"Achieve budget management parity >= 80% (currently 40%). OKR dashboard, budget vs actual, import wizard, EE parity via OCA. SSOT: ssot/governance/enterprise_okrs.yaml obj_D.","Parity score >= 80%; OKR dashboard live; variance analysis functional; OCA accounting modules adopted."
Issue,FIN-I4.1 — OKR Dashboard Enhancement,FIN-E4 — Finance PPM and Clarity Parity,finance-ppm;budget,"Enhance OKR dashboard with finance KPIs. Connect to enterprise OKR targets (obj_D cost/governance and obj_E security/compliance).","Dashboard shows kpi_002, kpi_003, kpi_005 widgets; data sourced from Odoo."
Task,FIN-T4.1a — Validate OKR dashboard JavaScript action,FIN-I4.1 — OKR Dashboard Enhancement,finance-ppm,"Verify ipai_finance_ppm/static/src/js/okr_dashboard_action.js renders without errors in Odoo 18.","Dashboard action loads; no JS console errors."
Task,FIN-T4.1b — Add close cycle time KPI widget,FIN-I4.1 — OKR Dashboard Enhancement,finance-ppm;month-end-close,"Add kpi_003 (close cycle < 10 days) widget to OKR dashboard.","Widget displays current month close cycle duration."
Task,FIN-T4.1c — Add BIR filing rate KPI widget,FIN-I4.1 — OKR Dashboard Enhancement,finance-ppm;bir-compliance,"Add kpi_005 (BIR filing on-time rate) widget to OKR dashboard.","Widget displays YTD on-time filing percentage."
Issue,FIN-I4.2 — Budget vs Actual Analysis,FIN-E4 — Finance PPM and Clarity Parity,finance-ppm;budget;forecast,"Extend analytic accounts with budget/forecast fields. Build variance analysis views. Ref: prd.md section 3.3.","Analytic accounts have budget/forecast fields; variance views functional; Superset integration active."
Task,FIN-T4.2a — Extend analytic account budget and forecast fields,FIN-I4.2 — Budget vs Actual Analysis,budget;forecast,"Add budget_amount and forecast_amount fields to account.analytic.account via ipai_finance_ppm.","Fields accessible on analytic account form/list views."
Task,FIN-T4.2b — Build variance analysis views in Odoo,FIN-I4.2 — Budget vs Actual Analysis,budget,"Create list/pivot views showing budget vs actual vs variance per analytic account.","Variance view accessible from PPM menu; amounts compute correctly."
Issue,FIN-I4.3 — PPM Import Wizard,FIN-E4 — Finance PPM and Clarity Parity,finance-ppm,"Validate and enhance the PPM bulk data loading wizard. Add WBS hierarchy (5-level) and resource plan import.","Wizard loads; WBS 5-level import works; resource plan import works."
Task,FIN-T4.3a — Validate ppm.import.wizard functionality,FIN-I4.3 — PPM Import Wizard,finance-ppm,"Test the existing import wizard form view for basic data loading.","Wizard opens; data imported correctly on test DB."
Task,FIN-T4.3b — Add WBS hierarchy import,FIN-I4.3 — PPM Import Wizard,finance-ppm,"Extend wizard to import 5-level WBS: goal → outcome → objective → workstream → task.","5 levels imported; parent-child relationships correct."
Issue,FIN-I4.4 — EE Parity via OCA Accounting Modules,FIN-E4 — Finance PPM and Clarity Parity,finance-ppm,"Adopt OCA accounting modules to close EE parity gaps. Ref: ssot/governance/platform-capabilities-unified.yaml accounting section.","account_reconcile_oca + account_financial_report installed; parity score increased."
Task,FIN-T4.4a — Adopt account_reconcile_oca (bank reconciliation P0),FIN-I4.4 — EE Parity via OCA Accounting Modules,finance-ppm,"Install and validate account_reconcile_oca from OCA/account-reconcile. P0 priority per capabilities matrix.","Module installed on test DB; bank reconciliation workflow functional."
Task,FIN-T4.4b — Adopt account_financial_report (P0),FIN-I4.4 — EE Parity via OCA Accounting Modules,finance-ppm,"Install and validate account_financial_report from OCA/account-financial-reporting. P0 priority.","Module installed; financial reports generate correctly."
Task,FIN-T4.4c — Adopt account_asset_management (P1),FIN-I4.4 — EE Parity via OCA Accounting Modules,finance-ppm,"Install and validate account_asset_management from OCA/account-financial-tools. P1 priority.","Module installed; asset depreciation schedules compute correctly."
Epic,FIN-E5 — Expense and Cash Advance Management,,finance-ppm;expense,"Achieve expense processing P50 < 48h (kpi_002). Module: ipai_hr_expense_liquidation (v19.0.2.0.0). 8-state workflow with policy engine. Spec: spec/sap-joule-concur-odoo-azure/ (future SAP Concur integration).","Expense processing < 48h median; policy engine enforced; Copilot tools functional."
Issue,FIN-I5.1 — Expense Liquidation Module Hardening,FIN-E5 — Expense and Cash Advance Management,finance-ppm;expense,"Validate ipai_hr_expense_liquidation end-to-end. 8-state workflow, accounting entries, policy engine, Copilot tools.","All 3 liquidation types functional; idempotency verified; policy engine blocking/warning tested."
Task,FIN-T5.1a — Test 8-state approval workflow end-to-end,FIN-I5.1 — Expense Liquidation Module Hardening,expense,"Test full cash advance lifecycle: draft → submitted → manager_approved → finance_approved → released → in_liquidation → liquidated → closed.","All transitions work; chatter notifications fire; rejected/cancelled paths tested."
Task,FIN-T5.1b — Validate accounting entry idempotency,FIN-I5.1 — Expense Liquidation Module Hardening,expense,"Test that release and liquidation JEs use idempotency keys. Verify no double-posting on retry.","Duplicate submission does not create duplicate JEs."
Task,FIN-T5.1c — Validate policy engine rules,FIN-I5.1 — Expense Liquidation Module Hardening,expense,"Test amount limits, receipt requirements, category limits, overdue checks per hr.expense.policy.rule model.","Policy violations created with correct severity; blocking rules prevent submission."
Task,FIN-T5.1d — Test Copilot tool integration,FIN-I5.1 — Expense Liquidation Module Hardening,expense,"Test 4 Copilot tools: create_cash_advance, submit_liquidation, check_policy_compliance, get_overdue_advances.","All 4 tools return expected results; requires ipai_ai_copilot dependency."
Issue,FIN-I5.2 — Spending Policy Implementation,FIN-E5 — Expense and Cash Advance Management,finance-ppm;expense,"Implement approval thresholds and receipt requirements from docs/handbook/finance/policies/spending.md.","Threshold tiers enforced (<5K self, 5-25K manager, 25-100K dept+finance, >100K CFO); receipt rules active."
Task,FIN-T5.2a — Configure approval threshold rules,FIN-I5.2 — Spending Policy Implementation,expense,"Create hr.expense.policy.rule records for 4 PHP tiers: <5K, 5-25K, 25-100K, >100K.","Rules created; correct approver level required per amount."
Task,FIN-T5.2b — Configure receipt requirement rules,FIN-I5.2 — Spending Policy Implementation,expense,"Create policy rules: any receipt <1K; OR required 1-5K; OR+PO >5K per spending policy.","Policy violations raised for missing receipts at correct thresholds."
Issue,FIN-I5.3 — SAP Concur Integration (Future),FIN-E5 — Expense and Cash Advance Management,finance-ppm;expense,"Design integration surface for approved Concur expenses → Odoo drafts. Spec: spec/sap-joule-concur-odoo-azure/. Deferred until Concur tenant available.","Integration design documented; mapping tables defined; no implementation until Concur access confirmed."
Task,FIN-T5.3a — Define employee and vendor mapping tables,FIN-I5.3 — SAP Concur Integration (Future),expense,"Document Concur employee ID → Odoo res.partner/hr.employee mapping. Document vendor mapping.","Mapping spec documented with dedup key strategy."
Task,FIN-T5.3b — Define cost center to analytic account mapping,FIN-I5.3 — SAP Concur Integration (Future),expense;budget,"Document Concur cost center → Odoo analytic account mapping.","Mapping spec documented."
Epic,FIN-E6 — Payroll and HR Compliance,,finance-ppm;payroll;bir-compliance,"Support BIR withholding tax forms driven by payroll data. Module: ipai_hr_payroll_ph (referenced in capabilities at 70% parity but not yet found in codebase). TRAIN law brackets, statutory contributions.","Payroll module producing correct withholding data; BIR forms generated from payroll; Alphalist automated."
Issue,FIN-I6.1 — PH Payroll Module Implementation,FIN-E6 — Payroll and HR Compliance,finance-ppm;payroll,"Implement or locate ipai_hr_payroll_ph. TRAIN law brackets, SSS/PhilHealth/Pag-IBIG tables. Must generate 1601-C source data and 2316 certificates.","Module installed; TRAIN brackets current; contribution tables correct; payroll run produces correct net pay."
Task,FIN-T6.1a — Implement TRAIN law income tax brackets,FIN-I6.1 — PH Payroll Module Implementation,payroll,"Implement 2025/2026 TRAIN law graduated income tax brackets. Use externalized rates JSON.","Brackets match BIR Revenue Regulations; no hardcoded rates."
Task,FIN-T6.1b — Implement statutory contribution tables,FIN-I6.1 — PH Payroll Module Implementation,payroll,"Implement SSS, PhilHealth, Pag-IBIG contribution tables with employer/employee shares.","Tables current per 2026 schedules; computation matches manual calculation."
Task,FIN-T6.1c — Generate 1601-C data from payroll,FIN-I6.1 — PH Payroll Module Implementation,payroll;bir-compliance,"Connect payroll output to 1601-C withholding tax form data.","1601-C amounts match payroll withholding totals."
Issue,FIN-I6.2 — Payroll to BIR Integration,FIN-E6 — Payroll and HR Compliance,finance-ppm;payroll;bir-compliance,"Connect payroll output to BIR filing cycle. Validate withholding computation. Generate Alphalist.","Payroll → 1601-C pipeline working; 2316 certificates generated; Alphalist generation automated."
Task,FIN-T6.2a — Generate 2316 Certificates from payroll,FIN-I6.2 — Payroll to BIR Integration,payroll;bir-compliance,"Auto-generate 2316 Certificate of Compensation Payment per employee from annual payroll data.","Certificates generated; amounts match annual payroll summary."
Task,FIN-T6.2b — Generate Alphalist from payroll records,FIN-I6.2 — Payroll to BIR Integration,payroll;bir-compliance,"Generate annual employee Alphalist (1604-CF) from payroll records.","Alphalist complete; employee count matches; amounts reconcile."
Epic,FIN-E7 — Finance Data Platform,,finance-ppm;forecast,"Medallion pipeline coverage for all finance data. Odoo → Bronze → Silver → Gold → Platinum. Superset BI views. Spec: spec/adls-etl-reverse-etl/.","ETL pipeline active; 11 Superset views deployed; KPI dashboards operational."
Issue,FIN-I7.1 — Finance ETL Pipeline,FIN-E7 — Finance Data Platform,finance-ppm;forecast,"Build Odoo finance data extraction into Databricks medallion architecture. Ref: spec/adls-etl-reverse-etl/.","Bronze/Silver/Gold layers populated; data freshness < 24h."
Task,FIN-T7.1a — Build Bronze layer extraction from Odoo,FIN-I7.1 — Finance ETL Pipeline,forecast,"Extract raw account.move, account.move.line, project.task data from Odoo to Bronze.","Raw data lands in Bronze; schema matches Odoo models."
Task,FIN-T7.1b — Build Silver layer cleansing,FIN-I7.1 — Finance ETL Pipeline,forecast,"Deduplicate, type-cast, and validate Bronze data into Silver.","Silver tables clean; no nulls in required fields."
Task,FIN-T7.1c — Build Gold layer business aggregates,FIN-I7.1 — Finance ETL Pipeline,forecast,"Aggregate into monthly summaries, close cycle metrics, BIR filing status.","Gold tables serve dashboard queries correctly."
Issue,FIN-I7.2 — Superset Finance Dashboards,FIN-E7 — Finance Data Platform,finance-ppm;forecast,"Deploy Superset dashboards for finance analytics. Ref: technical guide (11 SQL views).","All dashboards deployed; data refreshes on schedule."
Task,FIN-T7.2a — Deploy close cycle analytics dashboard,FIN-I7.2 — Superset Finance Dashboards,month-end-close;forecast,"Create Superset dashboard: close days trend, phase completion %, blocker analysis.","Dashboard accessible at superset.insightpulseai.com; data current."
Task,FIN-T7.2b — Deploy BIR compliance dashboard,FIN-I7.2 — Superset Finance Dashboards,bir-compliance;forecast,"Create Superset dashboard: on-time rate, overdue filings, form coverage.","Dashboard shows real-time BIR compliance status."
Task,FIN-T7.2c — Deploy budget variance dashboard,FIN-I7.2 — Superset Finance Dashboards,budget;forecast,"Create Superset dashboard: budget vs actual by analytic account, variance trends.","Dashboard shows current period variances; drill-down to account level."
