Work Item Type,Title,Parent,Description,Acceptance Criteria,Tags
Task,"Map cross-module handoff test scenarios","Integration and data readiness for Odoo on Azure","Document all inter-module data flows (SO->Invoice, PO->Receipt, etc.) and create test cases for each.","Handoff map with >= 10 cross-module flows documented and test scripts created.","testing,uat"
Task,"Build UAT data pack with representative records","Integration and data readiness for Odoo on Azure","Create a seeded dataset with realistic customers, products, orders, invoices, and inventory for UAT.","Data pack script generates consistent dataset; docs/boards/uat-data-pack-manifest.md lists record counts.","testing,uat"
Task,"Execute migration rehearsal on staging","Integration and data readiness for Odoo on Azure","Run full data migration from source to staging Odoo; measure completeness and duration.","Migration rehearsal log with row counts, duration, and error count < 0.1% of total records.","testing,uat"
Task,"Produce reconciliation report template","Integration and data readiness for Odoo on Azure","Create a reconciliation report comparing source and target record counts, checksums, and key field values.","Reconciliation template exists; first rehearsal report generated and reviewed.","testing,uat"
Task,"Establish data defect tracking workflow","Integration and data readiness for Odoo on Azure","Define how data defects are logged, triaged, and resolved during migration and UAT.","Data defect tag exists in issue tracker; triage SLA defined (P1 < 4h, P2 < 1d).","testing,uat"
Issue,"Non-functional readiness validation for production approval","Odoo on Azure — Release Quality, Testing, and UAT Readiness","Role/access validation, backup restore rehearsal, rollback rehearsal, and performance validation for production readiness.","Specific: RBAC matrix validated against Odoo role assignments; restore and rollback rehearsals executed successfully.
Measurable: Restore RTO < 30 minutes; rollback completes in < 15 minutes; response time p95 < 2s under expected load.
Achievable: Uses Azure Container Apps scaling and Azure managed PostgreSQL backup features.
Relevant: Non-functional failures cause outages and data loss post-go-live.
Time-bound: All rehearsals complete within 5 business days before go-live.","testing,restore-rollback,security"
Task,"Validate RBAC matrix against Odoo role assignments","Non-functional readiness validation for production approval","Audit all Odoo user groups and access rights against the approved RBAC matrix.","RBAC audit report shows 100% alignment between matrix and Odoo config; deviations logged as issues.","testing,security"
Task,"Execute backup restore rehearsal","Non-functional readiness validation for production approval","Restore a production-like backup to a clean environment and verify data integrity.","Restore completed in < 30 minutes; spot-check of 20 records shows 100% integrity.","testing,restore-rollback"
Task,"Execute rollback rehearsal","Non-functional readiness validation for production approval","Simulate a failed deployment and roll back to previous container revision and database snapshot.","Rollback completed in < 15 minutes; application functional post-rollback; evidence logged.","testing,restore-rollback"
Task,"Run performance validation under expected load","Non-functional readiness validation for production approval","Load test staging with expected concurrent users; measure response times, error rates, and resource usage.","p95 response time < 2s; error rate < 1%; CPU/memory within ACA scaling limits.","testing,security"
Task,"Document non-functional readiness evidence pack","Non-functional readiness validation for production approval","Compile all non-functional test results into a single evidence pack for go/no-go review.","Evidence pack at docs/evidence/<date>/non-functional/ with all 4 rehearsal reports.","testing,restore-rollback,security"
Issue,"UAT scenario pack baseline and ownership","Odoo on Azure — Release Quality, Testing, and UAT Readiness","Create uat-scenarios.md with scenario coverage for all functional towers, named owners, and execution templates.","Specific: uat-scenarios.md contains numbered scenarios grouped by tower with named owner per scenario.
Measurable: >= 5 scenarios per tower; 100% of scenarios have a named owner and expected result.
Achievable: Derived from existing functional specs and cross-module handoff map.
Relevant: UAT cannot start without a baselined scenario pack.
Time-bound: Scenario pack baselined within 4 business days of issue creation.","uat,business-signoff"
Task,"Create uat-scenarios.md template with tower sections","UAT scenario pack baseline and ownership","Set up the scenario document structure with sections for each functional tower.","Template exists at docs/boards/uat-scenarios.md with all tower sections and scenario numbering.","uat,business-signoff"
Task,"Write Finance tower UAT scenarios","UAT scenario pack baseline and ownership","Author >= 5 UAT scenarios covering invoicing, payments, reconciliation, and reporting.","Finance section has >= 5 scenarios with steps, expected results, and named owner.","uat,business-signoff"
Task,"Write Sales and CRM tower UAT scenarios","UAT scenario pack baseline and ownership","Author >= 5 UAT scenarios covering lead-to-order, quotations, and pipeline reporting.","Sales/CRM section has >= 5 scenarios with steps, expected results, and named owner.","uat,business-signoff"
Task,"Write Inventory and Purchasing tower UAT scenarios","UAT scenario pack baseline and ownership","Author >= 5 UAT scenarios covering PO flow, receipts, stock moves, and reorder rules.","Inventory/Purchasing section has >= 5 scenarios with steps, expected results, and named owner.","uat,business-signoff"
Task,"Write HR and Payroll tower UAT scenarios","UAT scenario pack baseline and ownership","Author >= 5 UAT scenarios covering employee onboarding, leave, attendance, and payroll run.","HR/Payroll section has >= 5 scenarios with steps, expected results, and named owner.","uat,business-signoff"
Task,"Assign scenario owners and get baseline sign-off","UAT scenario pack baseline and ownership","Review all scenarios with tower leads; assign owners; get written confirmation of baseline.","All scenarios have named owners; baseline approval recorded in uat-scenarios.md header.","uat,business-signoff"
Issue,"Formal UAT execution and business sign-off","Odoo on Azure — Release Quality, Testing, and UAT Readiness","Execute 4 UAT waves with daily triage, 100% mandatory scenario completion, tower sign-offs, and a consolidated UAT summary report.","Specific: 4 UAT waves executed (core, extended, edge-case, regression); daily defect triage held.
Measurable: 100% of mandatory scenarios executed; all S1/S2 defects resolved before sign-off; tower sign-off collected from each owner.
Achievable: Builds on baselined scenario pack and UAT data pack.
Relevant: Business sign-off is a hard gate for go-live.
Time-bound: UAT execution completes within 10 business days; sign-off within 2 days of UAT close.","uat,business-signoff"
Task,"Execute UAT Wave 1 — Core workflows","Formal UAT execution and business sign-off","Run all mandatory core workflow scenarios across every tower.","Wave 1 results logged; pass/fail per scenario recorded; S1/S2 defects filed.","uat,business-signoff"
Task,"Execute UAT Wave 2 — Extended and cross-module scenarios","Formal UAT execution and business sign-off","Run extended scenarios including cross-module handoffs and less common paths.","Wave 2 results logged; cumulative pass rate tracked.","uat,business-signoff"
Task,"Execute UAT Wave 3 — Edge cases and negative testing","Formal UAT execution and business sign-off","Run edge-case and negative-path scenarios (invalid data, permission denied, concurrent edits).","Wave 3 results logged; edge-case defects categorized and triaged.","uat,business-signoff"
Task,"Execute UAT Wave 4 — Regression after defect fixes","Formal UAT execution and business sign-off","Re-run failed scenarios from Waves 1-3 plus regression subset after defect fixes are deployed.","Wave 4 results show 100% mandatory pass; no new S1/S2 regressions.","uat,business-signoff"
Task,"Run daily defect triage during UAT","Formal UAT execution and business sign-off","Hold daily 15-minute triage to classify, assign, and prioritize UAT defects.","Triage log with daily entries; all S1 defects assigned within 4 hours.","uat,business-signoff"
Task,"Collect tower sign-offs and produce consolidated UAT summary","Formal UAT execution and business sign-off","Get written sign-off from each tower owner; compile into a single UAT summary report.","Consolidated UAT summary at docs/evidence/<date>/uat/uat-summary.md with all tower sign-offs attached.","uat,business-signoff"
Issue,"Go-live readiness, cutover control, and hypercare","Odoo on Azure — Release Quality, Testing, and UAT Readiness","Assemble release evidence pack, run go/no-go review, execute production smoke tests, define hypercare ownership and rotation, and establish exit criteria.","Specific: Release evidence pack assembled; go/no-go review conducted with all stakeholders; production smoke tests pass.
Measurable: 100% of go/no-go checklist items resolved; production smoke green within 30 minutes of deploy; hypercare roster covers 7x24 for first 5 days.
Achievable: All prerequisite issues (governance, testing, UAT, non-functional) are closed before this issue starts.
Relevant: This is the final gate — no production traffic without passing this issue.
Time-bound: Go/no-go decision within 1 business day of UAT sign-off; hypercare runs for 5 business days post-go-live.","go-live,release-quality"
Task,"Assemble release evidence pack","Go-live readiness, cutover control, and hypercare","Compile all testing evidence, UAT sign-offs, non-functional results, and risk acceptances into a single pack.","Evidence pack directory at docs/evidence/<date>/release/ contains all required artifacts.","go-live,release-quality"
Task,"Conduct go/no-go review meeting","Go-live readiness, cutover control, and hypercare","Present evidence pack to stakeholders; walk through go/no-go checklist; record decision.","Go/no-go decision recorded with rationale; blocker list empty or risks accepted.","go-live,release-quality"
Task,"Execute production smoke tests post-deploy","Go-live readiness, cutover control, and hypercare","Run smoke test pack against production within 30 minutes of deployment.","Production smoke results: 100% pass; evidence logged with timestamps.","go-live,release-quality"
Task,"Define hypercare roster and escalation matrix","Go-live readiness, cutover control, and hypercare","Create 7-day hypercare rotation with named on-call, escalation paths, and handoff times.","Hypercare roster published with daily slots filled and escalation contacts listed.","go-live,release-quality"
Task,"Define hypercare exit criteria","Go-live readiness, cutover control, and hypercare","Document measurable criteria for exiting hypercare (e.g., < 2 P1s in 48h, all P1s resolved).","Exit criteria documented and approved; daily hypercare status tracked against criteria.","go-live,release-quality"
Issue,"Staging parity and release-candidate immutability","Odoo on Azure — Release Quality, Testing, and UAT Readiness","Establish staging environment parity policy, drift reporting, RC freeze rules, and approved-defect-fix-only deployment policy.","Specific: Staging environment matches production config (ACA revision, env vars, DB schema) with documented exceptions only.
Measurable: Drift report runs daily; zero unapproved divergences at RC freeze; only approved defect-fix PRs merged after freeze.
Achievable: Uses Azure CLI diff and GitHub branch protection rules.
Relevant: Staging drift is a top cause of go-live surprises.
Time-bound: Parity policy enforced within 3 business days; drift reporting automated within 5 business days.","testing,release-quality"
Task,"Document staging parity policy","Staging parity and release-candidate immutability","Write policy defining what must match between staging and production (container image, env vars, DB schema, addons list).","Policy at docs/governance/staging-parity-policy.md with enumerated parity dimensions.","testing,release-quality"
Task,"Automate daily staging drift report","Staging parity and release-candidate immutability","Create a script or CI job that compares staging and production configs and reports divergences.","Drift report runs daily in CI; output saved to docs/evidence/; alert on divergence.","testing,release-quality"
Task,"Implement RC freeze branch protection","Staging parity and release-candidate immutability","Configure GitHub branch protection on release branches to require approval and status checks after RC tag.","Branch protection rule active; unapproved PRs blocked; evidence via gh api.","testing,release-quality"
Task,"Define approved-defect-fix-only merge policy","Staging parity and release-candidate immutability","Document and enforce that only PRs linked to approved defect issues can merge after RC freeze.","Policy documented; PR template includes defect-link field; CI validates linkage.","testing,release-quality"
