Work Item Type,Title,Parent,Area Path,Iteration Path,Tags,Value Area,Business Value,Time Criticality,Description,Acceptance Criteria
Feature,Data Intelligence Index,Data Intelligence Documentation,ipai-platform\data-intelligence,ipai-platform\Docs\Wave-2,"data-intelligence;index",Architectural,85,75,"Index page for data-intelligence docs.","Index exists in data-intelligence repo and docs mirror."
Feature,Lakehouse and Governance,Data Intelligence Documentation,ipai-platform\data-intelligence,ipai-platform\Docs\Wave-2,"data-intelligence;governance",Architectural,90,80,"Document lakehouse and governance model.","Reference and governance docs exist."
Feature,Ingestion Patterns,Data Intelligence Documentation,ipai-platform\data-intelligence,ipai-platform\Docs\Wave-2,"data-intelligence;ingestion",Architectural,85,80,"Document batch and real-time ingestion patterns.","Ingestion page exists and names source domains."
Feature,Consumption and BI,Data Intelligence Documentation,ipai-platform\data-intelligence,ipai-platform\Docs\Wave-2,"data-intelligence;bi",Architectural,85,75,"Document semantic and BI consumption model.","Consumption docs exist and separate BI from ERP runtime."
Epic,Governance and Drift Remediation Documentation,,ipai-platform,ipai-platform\Docs\Hardening,"governance;drift",Architectural,100,100,"Docs and evidence pack for reconciling live Azure estate and IaC.","Drift model, exception registry, and rebuildability expectations are documented."
Feature,Drift Model and Exceptions,Governance and Drift Remediation Documentation,ipai-platform\platform,ipai-platform\Docs\Hardening,"drift;exceptions",Architectural,100,100,"Document drift classification and exception handling.","Drift docs exist and classify retained unmanaged resources."
Feature,Rebuildability and Recovery Docs,Governance and Drift Remediation Documentation,ipai-platform\infra,ipai-platform\Docs\Hardening,"dr;recovery",Architectural,95,95,"Document restore/recovery/rebuild posture.","HA/DR and restore docs exist with evidence requirements."
Feature,Azure Boards + GitHub Traceability,Engineering Documentation,ipai-platform\docs,ipai-platform\Docs\Wave-2,"engineering;traceability",Architectural,90,85,"Document Boards-to-GitHub traceability model and PR keyword conventions.","Traceability docs exist with keyword rules and validation checklist."
User Story,WRITE: docs/odoo-on-azure/engineering/boards-github-traceability.md,Azure Boards + GitHub Traceability,ipai-platform\docs,ipai-platform\Docs\Wave-2,"write;traceability",Architectural,85,80,"Document canonical Boards → branch → PR → merge → evidence flow.","Page exists with keyword rules and validation checklist."
User Story,WRITE: docs/planning/DOC_PROGRAM_WORK_ITEM_TEMPLATES.md,Azure Boards + GitHub Traceability,ipai-platform\docs,ipai-platform\Docs\Wave-2,"write;templates",Architectural,85,80,"Publish strict Epic/Feature/Story/Task templates with naming and tagging conventions.","Templates doc exists with all 4 work-item types and PR keyword rules."
User Story,WRITE: docs/planning/DOC_PROGRAM_SPRINT_MODEL.md,Azure Boards + GitHub Traceability,ipai-platform\docs,ipai-platform\Docs\Wave-2,"write;sprint-model",Architectural,85,80,"Publish sprint cadence, ceremonies, and DoD for the documentation program.","Sprint model doc exists with ceremonies, DoD, and recommended first 3 sprints."
User Story,EVIDENCE: validate Boards-to-PR linkage,Azure Boards + GitHub Traceability,ipai-platform\docs,ipai-platform\Docs\Wave-2,"evidence;traceability",Architectural,90,85,"Validate that Boards work items link to PRs and build results.","Evidence artifact confirms keyword-driven state transitions work end-to-end."
