Work Item Type,Title,Parent,Area Path,Iteration Path,Tags,Business Value,Time Criticality,Description,Acceptance Criteria
Feature,Test Backup Restore,Production Readiness & Resilience,IPAI\Platform,IPAI\Sprint 2,"platform-assessment,pre-prod,hard-blocker",10,8,"P3/R6: Untested backups are not backups. RTO is unknown.",Restore to test_restore_* DB; row count match; RTO measured
Feature,Consolidate Go-Live Checklist,Production Readiness & Resilience,IPAI\Platform,IPAI\Sprint 2,"platform-assessment,pre-prod",7,7,"P2/R7: 5 versions of go-live checklists create confusion at cutover.",Single GO_LIVE_GATE.md; superseded checklists archived
Feature,Define Production SLOs,Production Readiness & Resilience,IPAI\Platform,IPAI\Sprint 2,"platform-assessment,pre-prod",8,7,"P9: No targets means no measurement.",SLO doc with uptime 99.5% and p95 latency < 3s; mapped to alert rules
Feature,Solo Operator Mitigation,Production Readiness & Resilience,IPAI\Platform,IPAI\Sprint 2,"platform-assessment,pre-prod",7,6,"R12: Bus factor = 1. No peer review, no on-call rotation.",Runbooks for top 5 failure scenarios; escalation path documented
Feature,Enable Entra Conditional Access + MFA,Security & Network Hardening,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,hard-blocker",10,10,"N4/R3: Admin access to Azure/Odoo has no MFA enforcement.",CA policy deployed; sign-in log showing MFA challenge
Feature,Activate Entra OIDC for Odoo,Security & Network Hardening,IPAI\Platform,IPAI\Sprint 2,"platform-assessment,pre-prod,hard-blocker",10,9,"P5/R3: Odoo uses basic login; no SSO, no MFA for end users.",Odoo login via Entra redirect; sign-in log proof
Feature,Formalize NSG Rules in Bicep,Security & Network Hardening,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now",8,8,"N3/R4: VNet deployed but NSG rules unknown/untracked.",NSG rules in Bicep; az deployment what-if clean
Feature,Deploy Private Endpoints for PG + KV,Security & Network Hardening,IPAI\Platform,IPAI\Sprint 2,"platform-assessment,pre-prod,hard-blocker",9,8,"P8/R4: Database and secrets accessible on public network.",KV defaultAction=Deny; PE for KV; PG PE validated
Feature,Enable CodeQL via GitHub Actions,Security & Network Hardening,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now",7,7,"N7/R9: No static security analysis beyond linting.",CodeQL workflow running; first scan results
Feature,Verify Production Alert Routing and Response Ownership,Observability & Operations,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,hard-blocker",10,10,"4 alert rules deployed but routing and response ownership unverified.",Action group has valid targets; test alert received; response matrix documented
Feature,Operational Runbooks,Observability & Operations,IPAI\Platform,IPAI\Sprint 2,"platform-assessment,pre-prod",7,6,"No documented incident response for common failure scenarios.",5 runbooks covering ACA restart loop / PG exhaustion / AFD failure / AI degradation / TLS expiry
Feature,Seed Knowledge Base Index,AI Platform Readiness,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now",8,8,"N5/R5: RAG copilot returns empty results without indexed data.",7000+ chunks indexed; 3 test queries return relevant results
Feature,Integrate Eval Gate in CI/CD,AI Platform Readiness,IPAI\Platform,IPAI\Sprint 2,"platform-assessment,pre-prod",8,7,"P4/R5: AI copilot releases bypass quality validation.",Eval_Gate stage passes/fails on 20+ test cases
Feature,Migrate AI API Key to Key Vault,AI Platform Readiness,IPAI\Platform,IPAI\Sprint 2,"platform-assessment,pre-prod",8,7,"P6/R11: API key in Odoo ir.config_parameter instead of Key Vault.",FOUNDRY_API_KEY sourced from KV; copilot functional
Feature,Add Prompt Injection Detection,AI Platform Readiness,IPAI\Platform,IPAI\Sprint 2,"platform-assessment,pre-prod",7,6,"P7/R14: User input goes raw to LLM with no content filtering.",Detector in controller; malicious prompts blocked
Feature,Multi-Region Deployment,Platform Productization & Scale,IPAI\Platform,IPAI\Backlog,"platform-assessment,later",5,3,"L1: Single-region = single point of failure.",Secondary region deployed; failover test passed
Feature,Implement Tenant Isolation,Platform Productization & Scale,IPAI\Platform,IPAI\Backlog,"platform-assessment,later",5,3,"L2: SaaS requires data boundary enforcement.",Tenant context middleware; cross-tenant leakage test
Feature,Enable Defender for Cloud,Platform Productization & Scale,IPAI\Platform,IPAI\Backlog,"platform-assessment,later",6,4,"L3: Advanced threat detection.",Defender enabled; alerts integrated
Feature,Azure Savings Plans / Reservations,Platform Productization & Scale,IPAI\Platform,IPAI\Backlog,"platform-assessment,later",4,2,"L4: Cost optimization at scale.",Reservation coverage report; 20-40% savings
Feature,DORA Metrics Collection,Platform Productization & Scale,IPAI\Platform,IPAI\Backlog,"platform-assessment,later",4,2,"L5: Quantify delivery performance.",DORA dashboard with baseline metrics
Feature,Internal Developer Platform,Platform Productization & Scale,IPAI\Platform,IPAI\Backlog,"platform-assessment,later",3,1,"L6: Self-service for team growth.",Service catalog + provisioning CLI
Product Backlog Item,EVIDENCE: Inventory all 52 live Azure resources and map to Bicep,Reconcile IaC with Live Azure State,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,evidence",10,10,"Map each of the 52 live resources to existing Bicep module or mark as untracked.",Spreadsheet or YAML mapping all 52 resources to Bicep module or 'untracked' status
Product Backlog Item,IMPLEMENT: Import alert rules into Bicep,Reconcile IaC with Live Azure State,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,implement",9,10,"Import portal-deployed alert rules (alert-http-5xx, alert-aca-restarts, alert-aca-no-replicas, alert-aca-high-cpu) into Bicep.",Alert rules defined in Bicep; what-if clean for alerts
Product Backlog Item,IMPLEMENT: Import WAF policy into Bicep,Reconcile IaC with Live Azure State,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,implement",9,10,"Import WAF policy (wafipaidev) into Bicep Front Door module.",WAF policy in Bicep; what-if clean
Product Backlog Item,IMPLEMENT: Import HA environment into Bicep,Reconcile IaC with Live Azure State,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,implement",8,9,"Import ipai-odoo-ha-env + managed LB + public IP into Bicep.",HA env in Bicep; what-if clean
Product Backlog Item,IMPLEMENT: Import Grafana container app into Bicep,Reconcile IaC with Live Azure State,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,implement",7,8,"Import ipai-grafana-dev into Bicep ACA module.",Grafana app in Bicep
Product Backlog Item,IMPLEMENT: Import private DNS zone into Bicep,Reconcile IaC with Live Azure State,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,implement",8,9,"Import privatelink.postgres.database.azure.com into Bicep.",Private DNS zone in Bicep
Product Backlog Item,EVIDENCE: Run az deployment what-if and confirm zero drift,Reconcile IaC with Live Azure State,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,evidence",10,10,"Run az deployment group what-if and confirm zero drift between Bicep and live state.",What-if output showing no changes required
Product Backlog Item,IMPLEMENT: Register justified IaC exceptions,Reconcile IaC with Live Azure State,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,implement",6,7,"Register justified exceptions for resources intentionally outside IaC (e.g. NetworkWatcher).",Exception registry document with justification per resource
Product Backlog Item,IMPLEMENT: Enable cost export to storage account,Enable Azure Cost Management,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,implement",8,8,"Enable Azure Cost Management export to storage account.",Cost export active and data flowing
Product Backlog Item,IMPLEMENT: Create $500/month budget alert,Enable Azure Cost Management,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,implement",8,8,"Create $500/month budget alert on subscription.",Budget alert triggers at 80% and 100% thresholds
Product Backlog Item,IMPLEMENT: Add cost export Bicep module,Enable Azure Cost Management,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,implement",7,7,"Add cost export configuration to IaC.",Cost export in Bicep
Product Backlog Item,EVIDENCE: Cost dashboard showing 30-day trend,Enable Azure Cost Management,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,evidence",7,7,"Screenshot of cost dashboard showing 30-day trend.",Screenshot with date stamp
Product Backlog Item,IMPLEMENT: Move DigitalOcean configs to archive,Archive Deprecated Infrastructure Configs,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,implement",6,7,"Move infra/deploy/DROPLET_DEPLOYMENT.md and DigitalOcean configs to archive/.",Files moved; git commit
Product Backlog Item,IMPLEMENT: Move Supabase configs to archive,Archive Deprecated Infrastructure Configs,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,implement",6,7,"Move infra/azure/supabase/ to archive/.",Files moved; git commit
Product Backlog Item,IMPLEMENT: Move Mailgun references to archive,Archive Deprecated Infrastructure Configs,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,implement",5,6,"Move Mailgun DNS references to archive/.",Files moved; git commit
Product Backlog Item,EVIDENCE: Verify infra/ contains only active configs,Archive Deprecated Infrastructure Configs,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,evidence",6,7,"Verify infra/ contains only active Azure configs after cleanup.",Directory listing showing no deprecated items
Product Backlog Item,IMPLEMENT: Add backupRetentionDays to PG Bicep module,Set PostgreSQL Backup Retention in Bicep,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,implement",9,9,"Add backupRetentionDays: 30 to PostgreSQL Flexible Server Bicep module.",Parameter in Bicep; deployed
Product Backlog Item,EVIDENCE: Verify backup retention = 30 days,Set PostgreSQL Backup Retention in Bicep,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,evidence",9,9,"Azure portal screenshot showing backup retention = 30 days.",Screenshot with date stamp
Product Backlog Item,IMPLEMENT: Create CA policy requiring MFA,Enable Entra Conditional Access + MFA,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,implement",10,10,"Create Conditional Access policy requiring MFA for all admin roles.",CA policy active
Product Backlog Item,EVIDENCE: CA policy + sign-in log showing MFA,Enable Entra Conditional Access + MFA,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,evidence",10,10,"Screenshot of CA policy + sign-in log showing MFA challenge.",Screenshot with MFA evidence
Product Backlog Item,IMPLEMENT: Create CodeQL workflow,Enable CodeQL via GitHub Actions,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,implement",7,7,"Create .github/workflows/codeql.yml for Python and JavaScript.",Workflow file committed
Product Backlog Item,EVIDENCE: CodeQL first scan results,Enable CodeQL via GitHub Actions,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,evidence",7,7,"Run initial scan and document findings.",Screenshot of CodeQL dashboard
Product Backlog Item,EVIDENCE: Confirm action group has valid notification targets,Verify Production Alert Routing and Response Ownership,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,evidence",10,10,"Confirm ag-ipai-platform has valid email/SMS/webhook targets.",Portal screenshot showing notification config
Product Backlog Item,EVIDENCE: Trigger test alert and confirm receipt,Verify Production Alert Routing and Response Ownership,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,evidence",10,10,"Trigger test alert and confirm notification received.",Email/SMS notification screenshot with timestamp
Product Backlog Item,IMPLEMENT: Document alert response ownership matrix,Verify Production Alert Routing and Response Ownership,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,implement",9,9,"Create matrix mapping each alert to response owner and action.",Response matrix document
Product Backlog Item,IMPLEMENT: Run ingest.sh --full for KB,Seed Knowledge Base Index,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,implement",8,8,"Run ingest.sh --full against Odoo 18 docs corpus.",Ingest script output log
Product Backlog Item,EVIDENCE: Confirm 7000+ chunks indexed,Seed Knowledge Base Index,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,evidence",8,8,"Verify Azure AI Search index contains 7000+ chunks.",Index stats showing document count
Product Backlog Item,EVIDENCE: Test search queries return relevant results,Seed Knowledge Base Index,IPAI\Platform,IPAI\Sprint 1,"platform-assessment,now,evidence",8,8,"Execute 3 test search queries and verify relevance.",Query results screenshot
