id,name,project_id:id,tag_ids/id,planned_hours,description
ipai_close_18,Perform month-end Revaluation of Intercompany Balances. Adjusting intercompany balances to reflect the correct value at the month-end exchange rate.,ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_amortization_corporate,16.0,"Category: Amortization & Corporate
Reviewed by: BOM
Approved by: CKVC
Employee code: JPAL"
ipai_close_19,Prepare reports for Working Captital related to AR,ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_ar_aging_wc,16.0,"Category: AR Aging - WC
Reviewed by: BOM
Approved by: CKVC
Employee code: JPAL"
ipai_close_20,Process and record Cash Advance (CA) Liquidations for specific project-related expenses.,ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_ca_liquidations,16.0,"Category: CA Liquidations
Reviewed by: RIM
Approved by: CKVC
Employee code: LAS"
ipai_close_21,Prepare AP Aging report for working captital submission,ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_ap_aging_wc,16.0,"Category: AP Aging - WC
Reviewed by: BOM
Approved by: CKVC
Employee code: LAS"
ipai_close_22,Prepare HOW's summary report,ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_oop,16.0,"Category: OOP
Reviewed by: RIM
Approved by: CKVC
Employee code: LAS"
ipai_close_23,Recording transactions for financed assets and long-term commitments. Record monthly interest expense on leased assets and process amortization reclassifications for prepaid corporate fees.,ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_asset_lease_entries,16.0,"Category: Asset & Lease Entries
Reviewed by: RIM
Approved by: CKVC
Employee code: LAS"
ipai_close_24,Correcting entries across the general ledger (GL). Process required reclassifications between specific GL accounts and between Marketing Expense categories.,ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_reclassifications,16.0,"Category: Reclassifications
Reviewed by: BOM
Approved by: CKVC
Employee code: LAS"
ipai_close_25,Compile and record monthly Input VAT entries (VAT paid on purchases) and the monthly VAT Report (cumulative summary of VAT activity).,ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_vat_taxes,16.0,"Category: VAT & Taxes
Reviewed by: JPAL
Approved by: CKVC
Employee code: JLI"
ipai_close_26,Recording estimated expenses for recurring monthly costs and recognizing non-fixed asset costs. Accrue recurring Expenses (estimated expense for regularly occurring services).,ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_accruals_assets,16.0,"Category: Accruals & Assets
Reviewed by: LAS
Approved by: CKVC
Employee code: JLI"
ipai_close_27,Record the monthly recognition/capitalization of Other Computer Related Costs.,ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_accruals_assets,16.0,"Category: Accruals & Assets
Reviewed by: LAS
Approved by: CKVC
Employee code: JLI"
ipai_close_28,Prepare AP Aging report with detailed status per invoice.,ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_ap_aging,16.0,"Category: AP Aging
Reviewed by: LAS
Approved by: CKVC
Employee code: JLI"
ipai_close_29,Process and record Cash Advance (CA) Liquidations submitted by employees.,ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_ca_liquidations,16.0,"Category: CA Liquidations
Reviewed by: RIM
Approved by: CKVC
Employee code: RMQB"
ipai_close_30,Accrue monthly expense for Employee Cellphone Allowance,ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_accruals_assets,16.0,"Category: Accruals & Assets
Reviewed by: LAS
Approved by: CKVC
Employee code: RMQB"
ipai_close_31,"Adjusting a recorded expense from one GL account to another to ensure correct reporting. Process reclassifications to correct expense categories (e.g., General Expense to Wireless and Meals).",ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_expense_reclassification,16.0,"Category: Expense Reclassification
Reviewed by: RIM
Approved by: CKVC
Employee code: RMQB"
ipai_close_32,"Compile, review, and record the monthly VAT Report (Initial and additional entries).",ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_vat_reporting,16.0,"Category: VAT Reporting
Reviewed by: JPAL
Approved by: CKVC
Employee code: JAP"
ipai_close_33,Adjusting costs or revenues between different internal project codes or job numbers. Process and record Transfers of Job Codes for consultancy fees and corporate projects.,ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_job_transfers,16.0,"Category: Job Transfers
Reviewed by: JPAL
Approved by: CKVC
Employee code: JAP"
ipai_close_34,Record specific GL reclassifications needed for month-end adjustments,ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_job_transfers,16.0,"Category: Job Transfers
Reviewed by: JPAL
Approved by: CKVC
Employee code: JAP"
ipai_close_35,Compile documents for the attachment of the revenue accruals.,ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_accruals,16.0,"Category: Accruals
Reviewed by: JPAL
Approved by: CKVC
Employee code: JRMO"
ipai_close_36,Prepare WIP schedule summary per Job#,ipai_finance_close_seed.project_month_end_template,ipai_finance_close_seed.tag_wip,16.0,"Category: WIP
Reviewed by: JPAL
Approved by: CKVC
Employee code: JRMO"
