xid_task,xid_project,task_name,description,stage_name,user_raw,active,date_deadline
seed_task__month_end_closing__process_reversal_entries_for_all_prior_month_accruals_e_g_trainings_production_r,seed_project__month_end_closing,"Process reversal entries for all prior month Accruals (e.g., trainings, production/retainers).",Category: Prior Period Review,New,,True,
seed_task__month_end_closing__prepare_reports_for_flash_wins_losses_and_revenue,seed_project__month_end_closing,"Prepare reports for Flash, Wins & Losses and Revenue.",Category: Regional Reporting,New,,True,
seed_task__month_end_closing__recognizing_revenue_and_billable_costs_based_on_client_contracts_and_project_sta,seed_project__month_end_closing,"Recognizing revenue and billable costs based on client contracts and project status. Accrue estimated Production, Retainer Fees, Media Commission, Creative Fees, and OOPC. Recording estimated Out-of-Pocket Costs that will eventually be billed to a client.",Category: Client Billings,New,JPAL,True,
seed_task__month_end_closing__reconciling_and_reclassifying_costs_to_ensure_they_are_correctly_categorized_as_,seed_project__month_end_closing,Reconciling and reclassifying costs to ensure they are correctly categorized as billable (WIP) or internal (OOP). Perform month-end Reclassifications of OOP to WIP (moves client-related expenses to an active project account) and necessary Reclass WIP to OOP (moves costs back if non-billable).,Category: WIP/OOP Management,New,,True,
seed_task__month_end_closing__allocating_prepaid_expenses_and_capital_costs_over_time_to_reflect_true_monthly_,seed_project__month_end_closing,Allocating prepaid expenses and capital costs over time to reflect true monthly resource consumption. Record monthly Amortization of the Business Permit and Amortization of LOA.,Category: Amortization & Corporate,New,,True,
seed_task__month_end_closing__accrue_estimated_monthly_audit_fees,seed_project__month_end_closing,Accrue estimated monthly Audit Fees.,Category: Amortization & Corporate,New,,True,
seed_task__month_end_closing__record_monthly_rental_expense_income_related_to_intercompany_transactions,seed_project__month_end_closing,Record monthly Rental Expense/Income related to intercompany transactions.,Category: Amortization & Corporate,New,,True,
seed_task__month_end_closing__perform_month_end_revaluation_of_intercompany_balances_adjusting_intercompany_ba,seed_project__month_end_closing,Perform month-end Revaluation of Intercompany Balances. Adjusting intercompany balances to reflect the correct value at the month-end exchange rate.,Category: Amortization & Corporate,New,,True,
seed_task__month_end_closing__prepare_reports_for_working_captital_related_to_ar,seed_project__month_end_closing,Prepare reports for Working Captital related to AR,Category: AR Aging - WC,New,,True,
seed_task__month_end_closing__process_and_record_cash_advance_ca_liquidations_for_specific_project_related_exp,seed_project__month_end_closing,Process and record Cash Advance (CA) Liquidations for specific project-related expenses.,Category: CA Liquidations,New,LAS,True,
seed_task__month_end_closing__prepare_ap_aging_report_for_working_captital_submission,seed_project__month_end_closing,Prepare AP Aging report for working captital submission,Category: AP Aging - WC,New,,True,
seed_task__month_end_closing__prepare_how_s_summary_report,seed_project__month_end_closing,Prepare HOW's summary report,Category: OOP,New,,True,
seed_task__month_end_closing__recording_transactions_for_financed_assets_and_long_term_commitments_record_mont,seed_project__month_end_closing,Recording transactions for financed assets and long-term commitments. Record monthly interest expense on leased assets and process amortization reclassifications for prepaid corporate fees.,Category: Asset & Lease Entries,New,,True,
seed_task__month_end_closing__correcting_entries_across_the_general_ledger_gl_process_required_reclassificatio,seed_project__month_end_closing,Correcting entries across the general ledger (GL). Process required reclassifications between specific GL accounts and between Marketing Expense categories.,Category: Reclassifications,New,,True,
seed_task__month_end_closing__compile_and_record_monthly_input_vat_entries_vat_paid_on_purchases_and_the_month,seed_project__month_end_closing,Compile and record monthly Input VAT entries (VAT paid on purchases) and the monthly VAT Report (cumulative summary of VAT activity).,Category: VAT & Taxes,New,JLI,True,
seed_task__month_end_closing__recording_estimated_expenses_for_recurring_monthly_costs_and_recognizing_non_fix,seed_project__month_end_closing,Recording estimated expenses for recurring monthly costs and recognizing non-fixed asset costs. Accrue recurring Expenses (estimated expense for regularly occurring services).,Category: Accruals & Assets,New,,True,
seed_task__month_end_closing__record_the_monthly_recognition_capitalization_of_other_computer_related_costs,seed_project__month_end_closing,Record the monthly recognition/capitalization of Other Computer Related Costs.,Category: Accruals & Assets,New,,True,
seed_task__month_end_closing__prepare_ap_aging_report_with_detailed_status_per_invoice,seed_project__month_end_closing,Prepare AP Aging report with detailed status per invoice.,Category: AP Aging,New,,True,
seed_task__month_end_closing__process_and_record_cash_advance_ca_liquidations_submitted_by_employees,seed_project__month_end_closing,Process and record Cash Advance (CA) Liquidations submitted by employees.,Category: CA Liquidations,New,RMQB,True,
seed_task__month_end_closing__accrue_monthly_expense_for_employee_cellphone_allowance,seed_project__month_end_closing,Accrue monthly expense for Employee Cellphone Allowance,Category: Accruals & Assets,New,,True,
seed_task__month_end_closing__adjusting_a_recorded_expense_from_one_gl_account_to_another_to_ensure_correct_re,seed_project__month_end_closing,"Adjusting a recorded expense from one GL account to another to ensure correct reporting. Process reclassifications to correct expense categories (e.g., General Expense to Wireless and Meals).",Category: Expense Reclassification,New,,True,
seed_task__month_end_closing__compile_review_and_record_the_monthly_vat_report_initial_and_additional_entries,seed_project__month_end_closing,"Compile, review, and record the monthly VAT Report (Initial and additional entries).",Category: VAT Reporting,New,JAP,True,
seed_task__month_end_closing__adjusting_costs_or_revenues_between_different_internal_project_codes_or_job_numb,seed_project__month_end_closing,Adjusting costs or revenues between different internal project codes or job numbers. Process and record Transfers of Job Codes for consultancy fees and corporate projects.,Category: Job Transfers,New,,True,
seed_task__month_end_closing__record_specific_gl_reclassifications_needed_for_month_end_adjustments,seed_project__month_end_closing,Record specific GL reclassifications needed for month-end adjustments,Category: Job Transfers,New,,True,
seed_task__month_end_closing__compile_documents_for_the_attachment_of_the_revenue_accruals,seed_project__month_end_closing,Compile documents for the attachment of the revenue accruals.,Category: Accruals,New,JRMO,True,
seed_task__month_end_closing__prepare_wip_schedule_summary_per_job,seed_project__month_end_closing,Prepare WIP schedule summary per Job#,Category: WIP,New,,True,
seed_task__bir_tax_filing__1601_c_compensation_2025_12_01_00_00_00,seed_project__bir_tax_filing,1601-C (Compensation) - 2025-12-01 00:00:00,"Form: 1601-C (Compensation), Period: 2025-12-01 00:00:00",New,,True,2025-01-15
seed_task__bir_tax_filing__1601_c_0619_e_2026_01_01_00_00_00,seed_project__bir_tax_filing,1601-C / 0619-E - 2026-01-01 00:00:00,"Form: 1601-C / 0619-E, Period: 2026-01-01 00:00:00",New,,True,2025-02-10
seed_task__bir_tax_filing__1601_c_0619_e_2026_02_01_00_00_00,seed_project__bir_tax_filing,1601-C / 0619-E - 2026-02-01 00:00:00,"Form: 1601-C / 0619-E, Period: 2026-02-01 00:00:00",New,,True,2025-03-10
seed_task__bir_tax_filing__1601_c_0619_e_2026_03_01_00_00_00,seed_project__bir_tax_filing,1601-C / 0619-E - 2026-03-01 00:00:00,"Form: 1601-C / 0619-E, Period: 2026-03-01 00:00:00",New,,True,2025-04-10
seed_task__bir_tax_filing__1601_c_0619_e_2026_04_01_00_00_00,seed_project__bir_tax_filing,1601-C / 0619-E - 2026-04-01 00:00:00,"Form: 1601-C / 0619-E, Period: 2026-04-01 00:00:00",New,,True,2025-05-10
seed_task__bir_tax_filing__1601_c_0619_e_2026_05_01_00_00_00,seed_project__bir_tax_filing,1601-C / 0619-E - 2026-05-01 00:00:00,"Form: 1601-C / 0619-E, Period: 2026-05-01 00:00:00",New,,True,2025-06-10
seed_task__bir_tax_filing__1601_c_0619_e_2026_06_01_00_00_00,seed_project__bir_tax_filing,1601-C / 0619-E - 2026-06-01 00:00:00,"Form: 1601-C / 0619-E, Period: 2026-06-01 00:00:00",New,,True,2025-07-10
seed_task__bir_tax_filing__1601_c_0619_e_2026_07_01_00_00_00,seed_project__bir_tax_filing,1601-C / 0619-E - 2026-07-01 00:00:00,"Form: 1601-C / 0619-E, Period: 2026-07-01 00:00:00",New,,True,2025-08-10
seed_task__bir_tax_filing__1601_c_0619_e_2026_08_01_00_00_00,seed_project__bir_tax_filing,1601-C / 0619-E - 2026-08-01 00:00:00,"Form: 1601-C / 0619-E, Period: 2026-08-01 00:00:00",New,,True,2025-09-10
seed_task__bir_tax_filing__1601_c_0619_e_2026_09_01_00_00_00,seed_project__bir_tax_filing,1601-C / 0619-E - 2026-09-01 00:00:00,"Form: 1601-C / 0619-E, Period: 2026-09-01 00:00:00",New,,True,
seed_task__bir_tax_filing__1601_c_0619_e_2026_10_01_00_00_00,seed_project__bir_tax_filing,1601-C / 0619-E - 2026-10-01 00:00:00,"Form: 1601-C / 0619-E, Period: 2026-10-01 00:00:00",New,,True,2025-11-10
seed_task__bir_tax_filing__1601_c_0619_e_2026_11_01_00_00_00,seed_project__bir_tax_filing,1601-C / 0619-E - 2026-11-01 00:00:00,"Form: 1601-C / 0619-E, Period: 2026-11-01 00:00:00",New,,True,2025-12-10
seed_task__bir_tax_filing__1601_eq_quarterly_ewt_q4_2025,seed_project__bir_tax_filing,1601-EQ (Quarterly EWT) - Q4 2025,"Form: 1601-EQ (Quarterly EWT), Period: Q4 2025",New,,True,2025-01-30
seed_task__bir_tax_filing__1702_rt_ex_income_tax_annual_2025,seed_project__bir_tax_filing,1702-RT/EX (Income Tax) - Annual 2025,"Form: 1702-RT/EX (Income Tax), Period: Annual 2025",New,,True,2025-04-15
seed_task__bir_tax_filing__2550q_vat_q1_2026,seed_project__bir_tax_filing,2550Q (VAT) - Q1 2026,"Form: 2550Q (VAT), Period: Q1 2026",New,,True,
seed_task__bir_tax_filing__1601_eq_quarterly_ewt_q1_2026,seed_project__bir_tax_filing,1601-EQ (Quarterly EWT) - Q1 2026,"Form: 1601-EQ (Quarterly EWT), Period: Q1 2026",New,,True,2025-04-30
seed_task__bir_tax_filing__2550q_vat_q2_2026,seed_project__bir_tax_filing,2550Q (VAT) - Q2 2026,"Form: 2550Q (VAT), Period: Q2 2026",New,,True,
seed_task__bir_tax_filing__1702q_quarterly_income_tax_q2_2026,seed_project__bir_tax_filing,1702Q (Quarterly Income Tax) - Q2 2026,"Form: 1702Q (Quarterly Income Tax), Period: Q2 2026",New,,True,2025-05-30
seed_task__bir_tax_filing__1601_eq_quarterly_ewt_q2_2026,seed_project__bir_tax_filing,1601-EQ (Quarterly EWT) - Q2 2026,"Form: 1601-EQ (Quarterly EWT), Period: Q2 2026",New,,True,2025-07-31
seed_task__bir_tax_filing__2550q_vat_q3_2026,seed_project__bir_tax_filing,2550Q (VAT) - Q3 2026,"Form: 2550Q (VAT), Period: Q3 2026",New,,True,
seed_task__bir_tax_filing__1702q_quarterly_income_tax_q3_2026,seed_project__bir_tax_filing,1702Q (Quarterly Income Tax) - Q3 2026,"Form: 1702Q (Quarterly Income Tax), Period: Q3 2026",New,,True,2025-08-29
seed_task__bir_tax_filing__1601_eq_quarterly_ewt_q3_2026,seed_project__bir_tax_filing,1601-EQ (Quarterly EWT) - Q3 2026,"Form: 1601-EQ (Quarterly EWT), Period: Q3 2026",New,,True,2025-10-30
seed_task__bir_tax_filing__step_process_detail,seed_project__bir_tax_filing,Step - Process Detail,"Form: Step, Period: Process Detail",New,,True,
seed_task__bir_tax_filing__1_preparation_gather_data_prepare_the_bir_form_and_draft_the_payment_request_e_g,seed_project__bir_tax_filing,"1. Preparation - Gather data, prepare the BIR Form, and draft the payment request (e.g., check voucher).","Form: 1. Preparation, Period: Gather data, prepare the BIR Form, and draft the payment request (e.g., check voucher).",New,,True,
seed_task__bir_tax_filing__2_report_approval_senior_finance_manager_sfm_reviews_and_approves_the_report_dat,seed_project__bir_tax_filing,2. Report Approval - Senior Finance Manager (SFM) reviews and approves the report data for accuracy and compliance. (File Request is submitted to SFM.),"Form: 2. Report Approval, Period: Senior Finance Manager (SFM) reviews and approves the report data for accuracy and compliance. (File Request is submitted to SFM.)",New,,True,
seed_task__bir_tax_filing__3_payment_approval_the_approved_report_and_payment_request_are_routed_finance_di,seed_project__bir_tax_filing,3. Payment Approval - The approved report and payment request are routed. Finance Director (FD) reviews and approves the release of funds for remittance.,"Form: 3. Payment Approval, Period: The approved report and payment request are routed. Finance Director (FD) reviews and approves the release of funds for remittance.",New,,True,
seed_task__bir_tax_filing__4_filing_payment_the_approved_form_is_filed_and_the_payment_is_remitted_either_e,seed_project__bir_tax_filing,4. Filing & Payment - The approved form is Filed and the payment is Remitted (either electronically or over the counter).,"Form: 4. Filing & Payment, Period: The approved form is Filed and the payment is Remitted (either electronically or over the counter).",New,,True,
