task_code,task_id,name,category,employee_code,reviewed_by,approved_by,planned_hours
REGIONAL_001,task_close_12_prepare_reports_for_flash_win,"Prepare reports for Flash, Wins & Losses and Revenue.",Regional Reporting,BOM,RIM,CKVC,16.0
BILLING_001,task_close_13_recognizing_revenue_and_billab,"Recognizing revenue and billable costs based on client contracts and project status. Accrue estimated Production, Retainer Fees, Media Commission, Creative Fees, and OOPC. Recording estimated Out-of-Pocket Costs that will eventually be billed to a client.",Client Billings,JPAL,BOM,CKVC,16.0
WIP_OOP_001,task_close_14_reconciling_and_reclassifying,Reconciling and reclassifying costs to ensure they are correctly categorized as billable (WIP) or internal (OOP). Perform month-end Reclassifications of OOP to WIP (moves client-related expenses to an active project account) and necessary Reclass WIP to OOP (moves costs back if non-billable).,WIP/OOP Management,JPAL,BOM,CKVC,16.0
AMORT_002,task_close_15_allocating_prepaid_expenses_an,Allocating prepaid expenses and capital costs over time to reflect true monthly resource consumption. Record monthly Amortization of the Business Permit and Amortization of LOA.,Amortization & Corporate,JPAL,BOM,CKVC,16.0
AMORT_003,task_close_16_accrue_estimated_monthly_audit,Accrue estimated monthly Audit Fees.,Amortization & Corporate,JPAL,BOM,CKVC,16.0
AMORT_004,task_close_17_record_monthly_rental_expense,Record monthly Rental Expense/Income related to intercompany transactions.,Amortization & Corporate,JPAL,BOM,CKVC,16.0
AMORT_005,task_close_18_perform_month_end_revaluation,Perform month-end Revaluation of Intercompany Balances. Adjusting intercompany balances to reflect the correct value at the month-end exchange rate.,Amortization & Corporate,JPAL,BOM,CKVC,16.0
AR_WC_001,task_close_19_prepare_reports_for_working_ca,Prepare reports for Working Captital related to AR,AR Aging - WC,JPAL,BOM,CKVC,16.0
CA_LIQ_001,task_close_20_process_and_record_cash_advanc,Process and record Cash Advance (CA) Liquidations for specific project-related expenses.,CA Liquidations,LAS,RIM,CKVC,16.0
AP_WC_001,task_close_21_prepare_ap_aging_report_for_wo,Prepare AP Aging report for working captital submission,AP Aging - WC,LAS,BOM,CKVC,16.0
OOP_001,task_close_22_prepare_how_s_summary_report,Prepare HOW's summary report,OOP,LAS,RIM,CKVC,16.0
ASSET_001,task_close_23_recording_transactions_for_fin,Recording transactions for financed assets and long-term commitments. Record monthly interest expense on leased assets and process amortization reclassifications for prepaid corporate fees.,Asset & Lease Entries,LAS,RIM,CKVC,16.0
RECLASS_001,task_close_24_correcting_entries_across_the,Correcting entries across the general ledger (GL). Process required reclassifications between specific GL accounts and between Marketing Expense categories.,Reclassifications,LAS,BOM,CKVC,16.0
VAT_001,task_close_25_compile_and_record_monthly_inp,Compile and record monthly Input VAT entries (VAT paid on purchases) and the monthly VAT Report (cumulative summary of VAT activity).,VAT & Taxes,JLI,JPAL,CKVC,16.0
ACC_ASSET_001,task_close_26_recording_estimated_expenses_f,Recording estimated expenses for recurring monthly costs and recognizing non-fixed asset costs. Accrue recurring Expenses (estimated expense for regularly occurring services).,Accruals & Assets,JLI,LAS,CKVC,16.0
ACC_ASSET_002,task_close_27_record_the_monthly_recognition,Record the monthly recognition/capitalization of Other Computer Related Costs.,Accruals & Assets,JLI,LAS,CKVC,16.0
AP_001,task_close_28_prepare_ap_aging_report_with_d,Prepare AP Aging report with detailed status per invoice.,AP Aging,JLI,LAS,CKVC,16.0
CA_LIQ_002,task_close_29_process_and_record_cash_advanc,Process and record Cash Advance (CA) Liquidations submitted by employees.,CA Liquidations,RMQB,RIM,CKVC,16.0
ACC_ASSET_003,task_close_30_accrue_monthly_expense_for_emp,Accrue monthly expense for Employee Cellphone Allowance,Accruals & Assets,RMQB,LAS,CKVC,16.0
EXP_REC_001,task_close_31_adjusting_a_recorded_expense_f,"Adjusting a recorded expense from one GL account to another to ensure correct reporting. Process reclassifications to correct expense categories (e.g., General Expense to Wireless and Meals).",Expense Reclassification,RMQB,RIM,CKVC,16.0
VAT_RPT_001,task_close_32_compile_review_and_record_th,"Compile, review, and record the monthly VAT Report (Initial and additional entries).",VAT Reporting,JAP,JPAL,CKVC,16.0
JOB_XFER_001,task_close_33_adjusting_costs_or_revenues_be,Adjusting costs or revenues between different internal project codes or job numbers. Process and record Transfers of Job Codes for consultancy fees and corporate projects.,Job Transfers,JAP,JPAL,CKVC,16.0
JOB_XFER_002,task_close_34_record_specific_gl_reclassific,Record specific GL reclassifications needed for month-end adjustments,Job Transfers,JAP,JPAL,CKVC,16.0
ACCRUALS_001,task_close_35_compile_documents_for_the_atta,Compile documents for the attachment of the revenue accruals.,Accruals,JRMO,JPAL,CKVC,16.0
WIP_001,task_close_36_prepare_wip_schedule_summary_p,Prepare WIP schedule summary per Job#,WIP,JRMO,JPAL,CKVC,16.0
