module,app_label,classification,found_path,installable,upgradeable,oca_equivalents,oca_repos,oca_parity,notes
quality_control,quality_control,enterprise-only,,Unknown,Unknown,quality_control;quality_control_stock,OCA/manufacture,70%,"Enterprise-only module (not available in CE). OCA: Basic QC, advanced metrics via Control Room"
website_slides,website_slides,CE,/usr/lib/python3/dist-packages/odoo/addons/website_slides,Y,Unknown,,,,Odoo CE core module
planning,planning,enterprise-only,,Unknown,Unknown,project_timeline;project_stage_closed;project_task_dependency,OCA/project,75%,"Enterprise-only module (not available in CE). OCA: Timeline view available, Gantt needs frontend work"
website_event,website_event,CE,/usr/lib/python3/dist-packages/odoo/addons/website_event,Y,Unknown,,,,Odoo CE core module
mail,mail,CE,/usr/lib/python3/dist-packages/odoo/addons/mail,Y,Unknown,,,,Odoo CE core module
contacts,contacts,CE,/usr/lib/python3/dist-packages/odoo/addons/contacts,Y,Unknown,,,,Odoo CE core module
calendar,calendar,CE,/usr/lib/python3/dist-packages/odoo/addons/calendar,Y,Unknown,,,,Odoo CE core module
social,social,enterprise-only,,Unknown,Unknown,,,60%,"Enterprise-only module (not available in CE). OCA: n8n workflows for posting, no unified dashboard (n8n replacement available)"
hr_appraisal,hr_appraisal,enterprise-only,,Unknown,Unknown,hr_appraisal,OCA/hr,85%,"Enterprise-only module (not available in CE). OCA: Basic appraisal flow, customize for goals"
fleet,fleet,CE,/usr/lib/python3/dist-packages/odoo/addons/fleet,Y,Unknown,,,,Odoo CE core module
marketing_automation,marketing_automation,enterprise-only,,Unknown,Unknown,mass_mailing_automation,OCA/social,60%,Enterprise-only module (not available in CE). OCA: Basic automation; use n8n for complex workflows
im_livechat,im_livechat,CE,/usr/lib/python3/dist-packages/odoo/addons/im_livechat,Y,Unknown,,,,Odoo CE core module
appointment,appointment,enterprise-only,,Unknown,Unknown,calendar_ics,OCA/calendar,60%,Enterprise-only module (not available in CE). OCA: Limited OCA options; use control_room.booking custom replacement
survey,survey,CE,/usr/lib/python3/dist-packages/odoo/addons/survey,Y,Unknown,,,,Odoo CE core module
web_mobile,web_mobile,enterprise-only,,Unknown,Unknown,web_responsive,OCA/web,50%,Enterprise-only module (not available in CE). OCA: Responsive web only; no native mobile app
repair,repair,CE,/usr/lib/python3/dist-packages/odoo/addons/repair,Y,Unknown,,,,Odoo CE core module
hr_attendance,hr_attendance,CE,/usr/lib/python3/dist-packages/odoo/addons/hr_attendance,Y,Unknown,,,,Odoo CE core module
mass_mailing_sms,mass_mailing_sms,CE,/usr/lib/python3/dist-packages/odoo/addons/mass_mailing_sms,Y,Unknown,,,,Odoo CE core module
stock_barcode,stock_barcode,enterprise-only,,Unknown,Unknown,stock_barcodes,OCA/stock-logistics-barcode,70%,Enterprise-only module (not available in CE). OCA: Basic barcode scanning; or use control_room.barcode
project_todo,project_todo,CE,/usr/lib/python3/dist-packages/odoo/addons/project_todo,Y,Unknown,,,,Odoo CE core module
hr_skills,hr_skills,CE,/usr/lib/python3/dist-packages/odoo/addons/hr_skills,Y,Unknown,,,,Odoo CE core module
voip,voip,enterprise-only,,Unknown,Unknown,,,0%,Enterprise-only module (not available in CE). OCA: No OCA equivalent; requires third-party integration
lunch,lunch,CE,/usr/lib/python3/dist-packages/odoo/addons/lunch,Y,Unknown,,,,Odoo CE core module
website_hr_recruitment,website_hr_recruitment,CE,/usr/lib/python3/dist-packages/odoo/addons/website_hr_recruitment,Y,Unknown,,,,Odoo CE core module
sale_amazon,sale_amazon,enterprise-only,,Unknown,Unknown,,,0%,Enterprise-only module (not available in CE). OCA: No OCA equivalent; use n8n Amazon connector
hr_contract,hr_contract,CE,/usr/lib/python3/dist-packages/odoo/addons/hr_contract,Y,Unknown,,,,Odoo CE core module
ipai_workos_affine,IPAI WorkOS - AFFiNE Clone (Umbrella),custom,/home/user/odoo-ce/addons/ipai_workos_affine,Y,Unknown,,,,Custom IPAI module
