Work Item Type,Title,Parent Title,Tags,Description,Acceptance Criteria
Issue,Expense analytics and bounded enrichment,[EXP-001] Expense Automation Liquidation and Spend Control,expense;analytics;lakehouse,"Publish expense facts to lakehouse and build gold views for spend, turnaround, and delinquency.","Expense data lands in lakehouse; gold views exist; writeback is bounded to enrichment fields only."
Task,Publish expense facts to lakehouse,Expense analytics and bounded enrichment,expense;databricks;bronze,"ETL expense records to bronze.","Expense records land in bronze layer."
Task,Build gold views for spend turnaround delinquency,Expense analytics and bounded enrichment,expense;databricks;gold,"Create curated gold datasets.","Gold views are queryable and demo-ready."
Epic,[COP-001] Odoo Copilot Joule-style Bounded Actions and Genie Insight Surface,,copilot;joule-style;genie;foundry;ai,"Deliver a governed assistant layer for Odoo using Foundry/Azure AI patterns with bounded actions, analytics-driven insights, and role-safe copilots.","Copilot shell exists; bounded actions are enforced; insights surface curated gold data; eval/tracing is active."
Issue,Odoo Copilot core shell,[COP-001] Odoo Copilot Joule-style Bounded Actions and Genie Insight Surface,copilot;ui;odoo,"Add copilot launcher in Odoo UI with role-aware entry points and session model.","Copilot is accessible from Odoo; sessions persist; audit logging works."
Task,Add copilot launcher in Odoo UI,Odoo Copilot core shell,copilot;ui,"Implement copilot widget entry point.","Copilot launcher appears in Odoo."
Task,Add role-aware entry points by app/module,Odoo Copilot core shell,copilot;rbac,"Show contextual copilot based on user role.","Different roles see appropriate entry points."
Task,Add audit/event logging,Odoo Copilot core shell,copilot;audit,"Log copilot interactions.","All copilot events are logged."
Issue,Joule-style bounded action model for Odoo,[COP-001] Odoo Copilot Joule-style Bounded Actions and Genie Insight Surface,copilot;joule-style;actions;governance,"Define read-only vs bounded-write tools and block unrestricted transactional writes.","Tools are classified; sensitive actions require confirmation; out-of-policy requests are denied and logged."
Task,Define read-only vs bounded-write tools,Joule-style bounded action model for Odoo,copilot;tools;governance,"Classify each copilot tool by access level.","Tool classification is documented and enforced."
Task,Block unrestricted transactional writes,Joule-style bounded action model for Odoo,copilot;safety,"Prevent copilot from making uncontrolled writes.","Unrestricted writes are blocked."
Task,Add confirmation flow for sensitive actions,Joule-style bounded action model for Odoo,copilot;ux;safety,"Require human confirmation for sensitive actions.","Sensitive actions show confirmation dialog."
Issue,Genie-style analytics and insight surface,[COP-001] Odoo Copilot Joule-style Bounded Actions and Genie Insight Surface,genie;analytics;copilot,"Expose curated gold datasets to insight assistant with source citation and freshness metadata.","Insights draw from curated data; citations link to source; freshness is visible."
Task,Expose curated gold datasets to insight assistant,Genie-style analytics and insight surface,genie;databricks;gold,"Connect gold views to insight prompts.","Insight assistant can query gold datasets."
Task,Add source citation and evidence behavior,Genie-style analytics and insight surface,genie;trust,"Include data source references in responses.","Responses include source citations."
Issue,Expense Copilot,[COP-001] Odoo Copilot Joule-style Bounded Actions and Genie Insight Surface,copilot;expense;ocr,"Summarize OCR results, explain policy violations, suggest corrections, and draft liquidation summaries.","Copilot assists expense review with explanations and suggestions."
Task,Summarize OCR results for review,Expense Copilot,copilot;expense;ocr,"Generate human-readable OCR summary.","OCR summaries are clear and accurate."
Task,Explain policy violations,Expense Copilot,copilot;expense;policy,"Provide natural-language policy violation explanations.","Violations are explained clearly."
Issue,Project and delivery copilot,[COP-001] Odoo Copilot Joule-style Bounded Actions and Genie Insight Surface,copilot;projects;delivery,"Summarize project/task status, generate risk summaries, suggest next actions, and produce stakeholder updates.","Project copilot provides accurate status summaries linked to Boards items."
Task,Summarize project/task status from Odoo,Project and delivery copilot,copilot;projects,"Generate project status summary.","Status summary reflects current Odoo state."
Task,Link project context to Boards items,Project and delivery copilot,copilot;azure-boards;integration,"Reference Azure Boards items in copilot output.","Copilot output links to relevant Board items."
Issue,Copilot eval tracing and operational guardrails,[COP-001] Odoo Copilot Joule-style Bounded Actions and Genie Insight Surface,copilot;eval;tracing;foundry,"Add prompt registry, offline eval set, runtime trace capture, and release gate for copilot changes.","Eval/trace infrastructure exists; copilot changes require quality gate passage."
Task,Add prompt/version registry,Copilot eval tracing and operational guardrails,copilot;eval;registry,"Track prompt versions.","Prompt versions are registered and auditable."
Task,Add runtime trace capture,Copilot eval tracing and operational guardrails,copilot;tracing;foundry,"Capture runtime execution traces.","Traces are stored and reviewable."
Epic,[INT-001] Odoo Projects to Azure Boards Integration with Odoo-Wins Execution Authority,,odoo-projects;azure-boards;integration;odoo-wins,"Implement directional, contract-governed integration between Odoo Projects and Azure Boards where Azure Boards holds planning truth and Odoo holds execution truth.","Sync exists; field mapping is documented; Odoo wins for execution fields; reconciliation evidence exists."
Issue,Authority contract - Azure Boards planning vs Odoo execution,[INT-001] Odoo Projects to Azure Boards Integration with Odoo-Wins Execution Authority,integration;governance;odoo-wins,"Define object mapping, field ownership, sync directions, conflict resolution, and idempotency keys.","Contract doc and SSOT YAML are published and approved."
Task,Define source-of-truth by field,Authority contract - Azure Boards planning vs Odoo execution,integration;governance,"Document which fields are owned by Boards vs Odoo.","Field ownership is documented."
Task,Define conflict resolution rules,Authority contract - Azure Boards planning vs Odoo execution,integration;odoo-wins,"Specify Odoo-wins rule for execution fields.","Conflict rules are documented."
Task,Publish contract doc and SSOT YAML,Authority contract - Azure Boards planning vs Odoo execution,integration;ssot,"Create machine-readable contract artifact.","SSOT YAML exists at ssot/integrations/."
Issue,Directional execution sync from Odoo Projects to Azure Boards,[INT-001] Odoo Projects to Azure Boards Integration with Odoo-Wins Execution Authority,integration;sync;odoo-wins,"Sync task state, percent complete, blocker/status summaries from Odoo to Boards.","Odoo execution state appears in Boards; Boards cannot overwrite Odoo execution fields."
Task,Sync task state changes from Odoo to Boards,Directional execution sync from Odoo Projects to Azure Boards,integration;sync,"Implement state change projection.","State changes flow from Odoo to Boards."
Task,Prevent Boards from overwriting Odoo execution fields,Directional execution sync from Odoo Projects to Azure Boards,integration;odoo-wins;safety,"Enforce write protection on synced fields.","Manual Boards edits to synced fields are overwritten on next sync."
Issue,Planning sync from Azure Boards to Odoo project scaffolding,[INT-001] Odoo Projects to Azure Boards Integration with Odoo-Wins Execution Authority,integration;sync;planning,"Pull new backlog items and title/description/priority changes from Boards to Odoo.","New Boards items create Odoo project scaffolding; invalid execution overwrites are rejected."
Task,Pull new backlog items into Odoo,Planning sync from Azure Boards to Odoo project scaffolding,integration;sync,"Import new Boards items as Odoo tasks.","New items appear in Odoo."
Task,Reject invalid execution-state overwrites,Planning sync from Azure Boards to Odoo project scaffolding,integration;odoo-wins,"Block Boards planning from overwriting Odoo execution state.","Invalid overwrites are logged and rejected."
Issue,Integration observability audit and reconciliation,[INT-001] Odoo Projects to Azure Boards Integration with Odoo-Wins Execution Authority,integration;observability;audit,"Add sync run logs, mismatch detection, replay/recovery, daily reconciliation, and failure alerts.","Sync runs are logged; mismatches are detected; failures alert; evidence packs are generated."
Task,Add sync run logs and run IDs,Integration observability audit and reconciliation,integration;logging,"Log each sync run with unique ID.","Run logs exist and are queryable."
Task,Add daily reconciliation summary,Integration observability audit and reconciliation,integration;reconciliation,"Produce daily sync health report.","Daily report shows sync status and mismatches."
